Unnamed: 0,subject_id,image_name,document_type,S64.Q95.M,S64.Q95.M_marginalia,S64.Q96.M,S64.Q96.M_marginalia,S64.Q97.F,S64.Q97.C_1,S64.Q97.C_2,S64.Q97.C_3,S64.Q97.C_4,S64.Q97.C_5,S64.Q97.Full
10,"15863136, 15863138","2521127-16-0011.jpg, 2521127-16-0012.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,It takes too long to relieve a man when he is on guard. The Marine guard is much more efficient in this respect as each man goes to his own post without being marched around the whole regiment by a corporal of the guard. Some of our N.C.O. are kids who never did a good days work in their lives or had men under them. So they seem to,think they are God's chosen children. The biggest part of our soldiers are P.F.C's [private first class] and Pvt's [privates] not our corporals.,,,,,It takes too long to relieve a man when he is on guard. The Marine guard is much more efficient in this respect as each man goes to his own post without being marched around the whole regiment by a corporal of the guard. Some of our N.C.O. are kids who never did a good days work in their lives or had men under them. So they seem to think they are God's chosen children. The biggest part of our soldiers are P.F.C's [private first class] and Pvt's [privates] not our corporals.
11,15863140,2521127-16-0013.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,"Things are a little better, but not much",,There could be better arrangements made as for time off when not on duty and see no reason why one company if a regiment can give early passes when another will not when they are [insertion] [/insertion] in the same regiment. All in all army life could be a lot worse than it is.,,,,,,There could be better arrangements made as for time off when not on duty and see no reason why one company if a regiment can give early passes when another will not when they are [insertion] [/insertion] in the same regiment. All in all army life could be a lot worse than it is.
12,"15863142, 15863145","2521127-16-0014.jpg, 2521127-16-0015.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,"This Army is run by Officers who, as long as they get passes and privileges, some give a darn about whether the enlisted man gets the same treatment or not! There is entirely too much politics in the Army and the men should be treated as men, instead of puppets which the Officers can do with as they please. There is also entirely too much favoritism shown to a few men.","We are fighting this war because we love our freedom, and our ""equal rights"" among men, but since I am in the army, I have been bitterly disallusioned [disillusioned] about the way that things are run, and the way the men are treated. [paragraph] I believe in discipline, but I don't believe in any officers making wise remarks, and ""slurs"" at the enlisted men. We should have equal rights to express ourselves and our opinions. ",,,,,"This Army is run by Officers who, as long as they get passes and privileges, some give a darn about whether the enlisted man gets the same treatment or not! There is entirely too much politics in the Army and the men should be treated as men, instead of puppets which the Officers can do with as they please. There is also entirely too much favoritism shown to a few men. We are fighting this war because we love our freedom, and our ""equal rights"" among men, but since I am in the army, I have been bitterly disallusioned [disillusioned] about the way that things are run, and the way the men are treated. [paragraph] I believe in discipline, but I don't believe in any officers making wise remarks, and ""slurs"" at the enlisted men. We should have equal rights to express ourselves and our opinions."
13,15863149,2521127-16-0016.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,The Private should get more than $50 a month because they need as much money as a corporal. And a man shouldn't be changed from his buddies after he's been with them 8 or 9 months in the army without a good reason.,,,,,,The Private should get more than $50 a month because they need as much money as a corporal. And a man shouldn't be changed from his buddies after he's been with them 8 or 9 months in the army without a good reason.
14,"15863151, 15863154","2521127-16-0017.jpg, 2521127-16-0018.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a lot worse,,"I think that this outfit that we are in don't get enough training of the kind they should. As a truck outfit we should know trucks, especially the type we will have in combat, inside out. What very little time we do get with the trucks is very insufficient and we always get a different one. A truck is like a brother you have to know it well and let it know you. I feel that my being in the service is making ...","life for me and my wife very hard. And I know it is going to be very hard for us to get on our feet again after the war. I don't feel that I should have been drafted when I was, as a married man with a child, especially when I know for a fact that there were still many single fellows and childless married men left in our little city.",,,,,"I think that this outfit that we are in don't get enough training of the kind they should. As a truck outfit we should know trucks, especially the type we will have in combat, inside out. What very little time we do get with the trucks is very insufficient and we always get a different one. A truck is like a brother you have to know it well and let it know you. I feel that my being in the service is making ... life for me and my wife very hard. And I know it is going to be very hard for us to get on our feet again after the war. I don't feel that I should have been drafted when I was, as a married man with a child, especially when I know for a fact that there were still many single fellows and childless married men left in our little city."
15,15863156,2521127-16-0019.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,"We are a Quartermaster Regiment but sometimes we don't drive a truck for two weeks at a time, although most of us drove in civilian life, the army trucks are quite different and it takes practice on any job to do it well. We need more trucking and less drilling.",,,,,,"We are a Quartermaster Regiment but sometimes we don't drive a truck for two weeks at a time, although most of us drove in civilian life, the army trucks are quite different and it takes practice on any job to do it well. We need more trucking and less drilling."
16,"15863158, 15863160","2521127-16-0020.jpg, 2521127-16-0021.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a lot worse,,Officers should have a full basic training before going to O.C.S. [paragraph] A truck outfit should have truck drivers as personell also enough men able to teach others how to repair trucks & drive them. A truck outfit should have gas to run the trucks with. How far does 8 truck go with 120 men.,The outfit is not trained for combat driving. Our's has been more for infantry. There is too much class distinction between West & South against the North East States. In getting ratings its not what you know but who you know. Medical care is not what it should be. Where are all the Christian doctors? Religious services are not always alowed to be attended.,,,,,Officers should have a full basic training before going to O.C.S. [paragraph] A truck outfit should have truck drivers as personell also enough men able to teach others how to repair trucks & drive them. A truck outfit should have gas to run the trucks with. How far does 8 truck go with 120 men. The outfit is not trained for combat driving. Our's has been more for infantry. There is too much class distinction between West & South against the North East States. In getting ratings its not what you know but who you know. Medical care is not what it should be. Where are all the Christian doctors? Religious services are not always alowed to be attended.
17,"15863162, 15863165","2521127-16-0022.jpg, 2521127-16-0023.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a lot better,,"I think our regiment is best suited for the Alcan Highway that is the best training we have had. When this regiment was first activated it was scheduled to go there and we had some good training but since then, it has just been infantry training, which I can't see for a truck regiment. I enlisted in the Air Corps as a mechanic but since I have been in the Army I haven't touched a wrench. I don't think it is fair the way some of the men",including myself get the bad breaks just because I said I had driven a truck in Civilian life they put me in a truck regiment the reason that I enlisted and several men in this regiment was to get in the Air Corps ground crew but when we said we had been truck drivers this is where we were sent the government asked for men to be mechanics in the Air Corps but put them where they want then I dont think it is giving the men a fair shake I know I wouldn't enlist again and the rest of the men in this regiment feel the same I don't think that is a very good attitude for the men to take towards the government but there is no other way to look at it if the government is going to do such under handed tricks as soon as you sign your name and take the oath they do as they please with you.,,,,,"I think our regiment is best suited for the Alcan Highway that is the best training we have had. When this regiment was first activated it was scheduled to go there and we had some good training but since then, it has just been infantry training, which I can't see for a truck regiment. I enlisted in the Air Corps as a mechanic but since I have been in the Army I haven't touched a wrench. I don't think it is fair the way some of the men including myself get the bad breaks just because I said I had driven a truck in Civilian life they put me in a truck regiment the reason that I enlisted and several men in this regiment was to get in the Air Corps ground crew but when we said we had been truck drivers this is where we were sent the government asked for men to be mechanics in the Air Corps but put them where they want then I dont think it is giving the men a fair shake I know I wouldn't enlist again and the rest of the men in this regiment feel the same I don't think that is a very good attitude for the men to take towards the government but there is no other way to look at it if the government is going to do such under handed tricks as soon as you sign your name and take the oath they do as they please with you."
18,15863168,2521127-16-0024.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,We have much more close order drill than convoy driving that we are supposed to do as our job and I think we could use more driving so that the jet we have to do could be done better than we could do at present ,,,,,,We have much more close order drill than convoy driving that we are supposed to do as our job and I think we could use more driving so that the jet we have to do could be done better than we could do at present
19,15863171,2521127-16-0025.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,"I think the Army should give the officers more training and more [unclear] rigorous [/unclear] . Also take them from ranks of enlisted men who have had one year or more of service. Officers are incompetent, not as a whole but a large part. More opportunities for transfer into an outfit that you personally prefer, or give an exam to determine if a man is capable in that branch of the service.",,,,,,"I think the Army should give the officers more training and more [unclear] rigorous [/unclear] . Also take them from ranks of enlisted men who have had one year or more of service. Officers are incompetent, not as a whole but a large part. More opportunities for transfer into an outfit that you personally prefer, or give an exam to determine if a man is capable in that branch of the service."
20,15863174,2521127-16-0026.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,"When I was inducted my Mother and Father were depending on me for support with my allotment it is not enough for them to get along on, with food prices up and taxes so high.",,,,,,"When I was inducted my Mother and Father were depending on me for support with my allotment it is not enough for them to get along on, with food prices up and taxes so high."
21,15863176,2521127-16-0027.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a lot worse,,Officers & non-coms (non-commissioned officers) are very poorly chosen - too little consideration given their mental equipment & descending [condescending] of character & feelings.,,,,,,Officers & non-coms (non-commissioned officers) are very poorly chosen - too little consideration given their mental equipment & descending [condescending] of character & feelings.
22,"15863179, 15863182","2521127-16-0028.jpg, 2521127-16-0029.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,[unclear] [/unclear] ,"forward 2 month for my furlough, and just 2 weeks before I was to get my furlough, they were cut out, that's not the first time it happened either. I'm still looking forward to a furlough (I hope). [paragraph] I hope this Q.M. outfit gets more driving than walking , we call ourselves the walking Quarter masters.",,,,,"[unclear] [/unclear]  forward 2 month for my furlough, and just 2 weeks before I was to get my furlough, they were cut out, that's not the first time it happened either. I'm still looking forward to a furlough (I hope). [paragraph] I hope this Q.M. outfit gets more driving than walking , we call ourselves the walking Quarter masters."
23,15863186,2521127-16-0030.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,"In my personal opinion, I don't think the Army knows what they want to do with all the men they are drafting. In my case, our regiment has been leaving the states for duty since last January. We are still here. If we're not going to work or fight, let's go home and save money for the government. We are only wasting it here. That's all!",,,,,,"In my personal opinion, I don't think the Army knows what they want to do with all the men they are drafting. In my case, our regiment has been leaving the states for duty since last January. We are still here. If we're not going to work or fight, let's go home and save money for the government. We are only wasting it here. That's all!"
24,"15863188, 15863191","2521127-16-0031.jpg, 2521127-16-0032.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,"Things are a little better, but not much",,"I do honestly think that the men could be segregated according to personality, intelligence and character etc. to a better degree than at present, to allow those men who have the ability to learn faster to receive better & more technical training. It builds morale as well as giving the individual a feeling of self confidence and an outlook of doing all that is","possible for the war effort. There is also a lot of foolish red tape to the present administration (in the army) that could be done away with. If we want to win this war we must do whatever we undertake, fast, with no faltering due to present complications which invariably confront the every move.",,,,,"I do honestly think that the men could be segregated according to personality, intelligence and character etc. to a better degree than at present, to allow those men who have the ability to learn faster to receive better & more technical training. It builds morale as well as giving the individual a feeling of self confidence and an outlook of doing all that is possible for the war effort. There is also a lot of foolish red tape to the present administration (in the army) that could be done away with. If we want to win this war we must do whatever we undertake, fast, with no faltering due to present complications which invariably confront the every move."
25,15863194,2521127-16-0033.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,I could do better out of the army than in because of raising food for the army and in the way of food staples to keep the country with a little more things. This way the folks are selling out what I need to do at home.,,,,,,I could do better out of the army than in because of raising food for the army and in the way of food staples to keep the country with a little more things. This way the folks are selling out what I need to do at home.
26,"15863198, 15863202","2521127-16-0034.jpg, 2521127-16-0035.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a little worse,,"There is to much flexibility in rules and regulations, no two officers see the rules the same way and therefore one outfit will benefit with little priveledges [priveleges] and the other outfit will be denied the same ones. This causes a drop in moral [morale] of some soldiers when they are stationed in the same post. A little more care should be taken in the selection of men for the kitchen [underline] some [/underline] are competent but do not know how to handle many. Others know how to handle men but do no know how to cook or do ",cover how they cook as they can eat whatever they want and you eat what they did not feel like making or did not care to make.,,,,,"There is to much flexibility in rules and regulations, no two officers see the rules the same way and therefore one outfit will benefit with little priveledges [priveleges] and the other outfit will be denied the same ones. This causes a drop in moral [morale] of some soldiers when they are stationed in the same post. A little more care should be taken in the selection of men for the kitchen [underline] some [/underline] are competent but do not know how to handle many. Others know how to handle men but do no know how to cook or do  cover how they cook as they can eat whatever they want and you eat what they did not feel like making or did not care to make."
27,15863205,2521127-16-0036.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,Have applied for O.C.S. several months ago with a group of other men and none of us have heard anything yet. We passed both mental and physical and all of the men would make good officers. I don't believe the Regiment cares whether we leave or not. They should try to help us to go.,,,,,,Have applied for O.C.S. several months ago with a group of other men and none of us have heard anything yet. We passed both mental and physical and all of the men would make good officers. I don't believe the Regiment cares whether we leave or not. They should try to help us to go.
28,15863208,2521127-16-0037.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,As a whole I think that officers should be returned from overseas and train men on this side.,,,,,,As a whole I think that officers should be returned from overseas and train men on this side.
29,15863211,2521127-16-0038.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,"I would like the Quartermaster Corp. better than any other unit, if it were operated right. Our truck training is very little, not enough driving, schooling, etc; and to much laying around, or drilling. ",,,,,,"I would like the Quartermaster Corp. better than any other unit, if it were operated right. Our truck training is very little, not enough driving, schooling, etc; and to much laying around, or drilling."
30,"15863216, 15863217","2521127-16-0039.jpg, 2521127-16-0040.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of furloughs but not passes,,Things are a little worse,,I want to say I am proud to be in the army and doing my part. If only I was in a job where I would take more interest in my work. I wanted to get in the airforce ground crew but instead they put me in Q.M. Corps as a Truck Driver. Yes I have driven trucks for 3 years but after all I don't want to be a truck driver.,"all my life. I think a little bit more should be done to help a man to get placed in a job he would like. That is the chief morale builder. If you like your work you like the army, you don't mind fighting. But otherwise a man gets disgusted. Its just like being in prison. (paragraph) II. I think the food could be better. I've seen some slop I would like to make those bigshots in Washington eat. No fit for pigs. [deletion] [/deletion] If I was on the other side I would understand but I am still in the States, the land of plentiful. Imagine 12 men getting only 2 qts (quarts) of milk at breakfast. It's bad enough the meat is bad but that can be understood. But is there a shortage of cows. I could write a book on gripes I have. I am not saying the whole army is this way. Maybe I have just fallen into the wrong outfit. Someday I hope to write a book then I can satisfy myself even if anyone else,",,,,,"I want to say I am proud to be in the army and doing my part. If only I was in a job where I would take more interest in my work. I wanted to get in the airforce ground crew but instead they put me in Q.M. Corps as a Truck Driver. Yes I have driven trucks for 3 years but after all I don't want to be a truck driver. all my life. I think a little bit more should be done to help a man to get placed in a job he would like. That is the chief morale builder. If you like your work you like the army, you don't mind fighting. But otherwise a man gets disgusted. Its just like being in prison. (paragraph) II. I think the food could be better. I've seen some slop I would like to make those bigshots in Washington eat. No fit for pigs. [deletion] [/deletion] If I was on the other side I would understand but I am still in the States, the land of plentiful. Imagine 12 men getting only 2 qts (quarts) of milk at breakfast. It's bad enough the meat is bad but that can be understood. But is there a shortage of cows. I could write a book on gripes I have. I am not saying the whole army is this way. Maybe I have just fallen into the wrong outfit. Someday I hope to write a book then I can satisfy myself even if anyone else,"
31,15863220,2521127-16-0041.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a lot better,,"I should think every soldier should have a furlough before entering into combat, I have [unclear] five? [/unclear] children [.] I have only seen [unclear] [/unclear] my eight months about 30 hours. ",,,,,,"I should think every soldier should have a furlough before entering into combat, I have [unclear] five? [/unclear] children [.] I have only seen [unclear] [/unclear] my eight months about 30 hours."
32,15863222,2521127-16-0042.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,Lets get the war over but quick if possible so we can go home,,,,,,Lets get the war over but quick if possible so we can go home
33,15863225,2521127-16-0043.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a little worse,,To [Too] much close order drilling. Not enough convoy driving.,,,,,,To [Too] much close order drilling. Not enough convoy driving.
34,15863227,2521127-16-0044.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,Mother now has to depend on my sister and sister's husband and that is cause for a great deal of unpleasantness in the home. It takes as much for a mother and brother to live on as a wife and son but still the army does not seem to think so. The army does not try to place skilled men where they would do the most good.,,,,,,Mother now has to depend on my sister and sister's husband and that is cause for a great deal of unpleasantness in the home. It takes as much for a mother and brother to live on as a wife and son but still the army does not seem to think so. The army does not try to place skilled men where they would do the most good.
35,15863230,2521127-16-0045.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of furloughs but not passes,,Things are a lot better,,Why dont they let a person get a transfer when he wants to go over seas. I have tried and was refused. They should give more 3 day passes. They should watch the way the mess hall is ran.,,,,,,Why dont they let a person get a transfer when he wants to go over seas. I have tried and was refused. They should give more 3 day passes. They should watch the way the mess hall is ran.
36,15863233,2521127-16-0046.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,," The neat of my company all but 23 of us made a $10 day paycheck and I don't think it is fair that they should not give the rest of us a 10 day freeleave of absence , we are doubting the whole damn thing they are fuckers and are more entitled to a free leave. The officers could treat us a bit better and the food could be better",,,,,,"The neat of my company all but 23 of us made a $10 day paycheck and I don't think it is fair that they should not give the rest of us a 10 day freeleave of absence , we are doubting the whole damn thing they are fuckers and are more entitled to a free leave. The officers could treat us a bit better and the food could be better"
37,"15863235, 15863237","2521127-16-0047.jpg, 2521127-16-0048.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page","Yes, I have had my fair share of both furloughs and passes",,Things are a lot worse,,"I can't understand why there is so much talk of not drafting fathers. I had one child and was expecting another when drafted. May wife is unable to pay rent, lights, gas, groceries, and doctor bills out of $72.00 a month. Also, as I understand it, the Oil Industry is considered an essential industry, yet, there is hardly any experienced men left in the oil","fields. [paragraph] The general consensus of opinion is that the draft boards should be investigated. I for one, did not come into the Army because I wanted to, and neither am I staying in because I want to. [paragraph] It would [insertion] almost [/insertion] take a dishonorable discharge to get out of the Army. My heart is not in it. I am more concerned with the conditions of my family, than this we are going thru now. ",,,,,"I can't understand why there is so much talk of not drafting fathers. I had one child and was expecting another when drafted. May wife is unable to pay rent, lights, gas, groceries, and doctor bills out of $72.00 a month. Also, as I understand it, the Oil Industry is considered an essential industry, yet, there is hardly any experienced men left in the oil fields. [paragraph] The general consensus of opinion is that the draft boards should be investigated. I for one, did not come into the Army because I wanted to, and neither am I staying in because I want to. [paragraph] It would [insertion] almost [/insertion] take a dishonorable discharge to get out of the Army. My heart is not in it. I am more concerned with the conditions of my family, than this we are going thru now."
38,15863242,2521127-16-0049.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a lot worse,,Well the remarks I have to say is that I volunteered for the Navy and got stuck into the Army because[unclear] [/unclear] was full. I feel that I would be better in the Navy than the Army any time because that's the kind of life I'd love to have. I wish I could get transferred into the Navy or the Army Air Corps ground crew if there is no way. I'd like to have it[unclear] [/unclear] ,,,,,,Well the remarks I have to say is that I volunteered for the Navy and got stuck into the Army because[unclear] [/unclear] was full. I feel that I would be better in the Navy than the Army any time because that's the kind of life I'd love to have. I wish I could get transferred into the Navy or the Army Air Corps ground crew if there is no way. I'd like to have it[unclear] [/unclear]
39,"15863245, 15863248","2521127-16-0050.jpg, 2521127-16-0051.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,Things are a lot worse,,"The Army could be better if they give us the right trainning (training) and the right food ""the food is the same all the time"". (paragraph) They shouldn't be selling Bonds to the men in uniform but they make you take a bond. They talk you into it to buy bonds.",Well the branch I got now is known of doing everything and the thing we do we shouldn't be doing it. ,,,,,"The Army could be better if they give us the right trainning (training) and the right food ""the food is the same all the time"". (paragraph) They shouldn't be selling Bonds to the men in uniform but they make you take a bond. They talk you into it to buy bonds. Well the branch I got now is known of doing everything and the thing we do we shouldn't be doing it."
40,15863251,2521127-16-0052.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a lot better,,"There is really only one thing in my outfit that gets me down some times, is when they tell you something they are going to do and don't carry through with it. As far as promotions go I think that most of them are favorites instead of what a man knows.",,,,,,"There is really only one thing in my outfit that gets me down some times, is when they tell you something they are going to do and don't carry through with it. As far as promotions go I think that most of them are favorites instead of what a man knows."
41,"15863253, 15863255","2521127-16-0053.jpg, 2521127-16-0054.jpg","A document that contains three questions (Q.95, Q.96 and Q.97), A continuation page",I have had my fair share of passes but not furloughs,,I don't see any difference,,"[unclear] Yes, I have one thing about the officer we have. That they never tell a [unclear] [/unclear] what holes slow [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] never found and why how do that [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] ",Always come first and never mind the man in back of him that is the same for ratings,,,,,"[unclear] Yes, I have one thing about the officer we have. That they never tell a [unclear] [/unclear] what holes slow [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] never found and why how do that [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear] [unclear] [/unclear]  Always come first and never mind the man in back of him that is the same for ratings"
42,15863258,2521127-16-0055.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,I don't see any difference,,When a fellow gets [unclear] Giced [/unclear] they should not take his pass away from him but but let him straiten out the think he got [unclear] Geds [/unclear] for and then give him his Pass. and let him be on his way.,,,,,,When a fellow gets [unclear] Giced [/unclear] they should not take his pass away from him but but let him straiten out the think he got [unclear] Geds [/unclear] for and then give him his Pass. and let him be on his way.
43,15863261,2521127-16-0056.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,I think that the Chinese should be given more guns and supplies. I think India should be given her independence. China would be a logical place to open a front to keep the Japs closer to home and the Chinese given a little more say as regards to the war in the east. ,,,,,,I think that the Chinese should be given more guns and supplies. I think India should be given her independence. China would be a logical place to open a front to keep the Japs closer to home and the Chinese given a little more say as regards to the war in the east.
44,15863272,2521127-16-0057.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,Things are a little worse,,As long as an EM [insertion] at camp [/insertion] is within a reasonable distance from his home he should be allowed to go home as often as possible because eventually he will be transferred to a place where it will be impossible to go home for a long period. ,,,,,,As long as an EM [insertion] at camp [/insertion] is within a reasonable distance from his home he should be allowed to go home as often as possible because eventually he will be transferred to a place where it will be impossible to go home for a long period.
45,15863274,2521127-16-0058.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,Things are a lot worse,,Well about the Co. I am in the officer do not treat the men right and for the least little thing they do the confined them for about 2 or three week and take all their cloths away. In our outfit if you don't fit with the sargent you get all the shit detail so I don't blame the fellows for going a.w.o.l. if they keep getting picked on,,,,,,Well about the Co. I am in the officer do not treat the men right and for the least little thing they do the confined them for about 2 or three week and take all their cloths away. In our outfit if you don't fit with the sargent you get all the shit detail so I don't blame the fellows for going a.w.o.l. if they keep getting picked on
