index,transcriber_tag,expert_tag_1,score_1,expert_tag_2,score_2,expert_tag_3,score_3
1608,homefront,homefront,1.0,housign,0.8128225239498419,barracks,0.6993399250860544
1633,hospitalfacilities,hospitalfacilities,1.0,hospitalization,0.9041627311187574,doctors,0.8329322652591689
1792,japanese,japanese,1.0,japan,0.8461307319860402,germans,0.6433342710803112
1890,leadership,leadershi,1.0,discipline,0.8434432148335547,mission,0.8042108168965353
473,branchofservice,branchofservice,1.0,mission,0.8522687704628977,evaluation,0.8251061187287636
182,anxieties,anxieties,1.0,vindictiveness,0.8089853836720864,attitudes,0.7678453191461665
482,brief,brief,1.0,limitedassignments,0.9089877684415317,civilianskills,0.7438991960982508
1915,lengthofwar,lengthofwar,1.0,warbonds,0.7632019817788027,warnews,0.7292806783214132
2957,reassignment,reassignment,1.0,redeployment,0.8846819073327153,retraining,0.8352134996351821
2965,recreation,recreation,1.0,entertainment,0.8597153573114558,leisuretime,0.8306608517212034
1825,jobturnover,jobturnover,1.0,jobevluation,0.7679225921654954,jobpreference,0.7091312093902872
2971,redeployment,redeployment,1.0,reassignment,0.8846819073327153,demobilization,0.8373262217120264
2853,pxs,pxs,1.0,usos,0.8021029909517093,name,0.7505784407513809
1817,jobsatisfaction,jobsatisfaction,1.0,efficiency,0.8018720544376264,benefits,0.7584351640161021
1815,jobpreference,jobpreference,1.0,jobevluation,0.8632957824925215,careers,0.7670469708802256
1971,livingconditions,livingconditions,1.0,housign,0.785698288457334,clothing,0.7301729225551753
1977,localcivilians,localcivilians,1.0,civilians,0.8975898674601257,workingwithcivilians,0.8629992787992711
3734,usoclubs,usoclubs,1.0,us-clubs,0.9026217105799603,usos,0.7703952184632358
1635,hospitalization,hospitalization,1.0,hospitalfacilities,0.9041627311187574,doctors,0.8637697587655684
1726,information,information,1.0,facilities,0.8861991765297852,publications,0.8495357319203739
3901,women,women,1.0,civilians,0.6774284890553267,attitudes,0.6753597665748373
2673,pointsystem,pointsystem,1.0,evaluation,0.8614015441809624,orientation,0.8237380974971835
3043,rest,rest,1.0,surrender,0.746092194021657,leisuretime,0.740416144555702
3763,vindictiveness,vindictiveness,1.0,enemyvindictiveness,0.8920910999821814,anxieties,0.8089853836720864
525,businessownership,businessownership,1.0,business,0.8879447078116454,transferaccountplan,0.626969090865513
3054,retraining,retraining,1.0,reassignment,0.8352134996351821,training,0.8096823525568353
2015,magazines,magazines,1.0,publications,0.7759293734465664,media,0.7183439161288614
1706,induction,inducationm,1.0,usos,0.8180051181839474,conscription,0.8108017647996806
3058,returnees,returnees,1.0,retraining,0.8015704202881875,conversion,0.7881719834069159
3758,veterens,veterans,1.0,enlisted,0.7253881500233985,conscription,0.7226692210206698
3087,rotation,rotation,1.0,adjustment,0.8157165079359975,orientation,0.8126745204358601
2239,name,name,1.0,wac,0.8654899156379819,courses,0.8577065017231322
2717,postexchanges,postexchanges,1.0,cbiroundup,0.7181273609017143,conscription,0.716233579036668
3720,us-clubs,us-clubs,1.0,usoclubs,0.9026217105799603,usos,0.7081701743484338
1911,leisuretime,leisuretime,1.0,recreation,0.8306608517212034,entertainment,0.7913239104202398
1069,efficiency,efficiency,1.0,morale,0.8384249148729741,benefits,0.8311049680776478
1272,films,films,1.0,promotions,0.7161634522297533,media,0.6855659860540397
3448,supplies,supplies,1.0,rations,0.8675350965701599,equipment,0.8618006206433346
1015,draft,draft,1.0,conscription,0.8477644089089369,discharge,0.7816571571778249
3822,warweek,warweek,1.0,warnews,0.7409637137708653,lengthofwar,0.6714908093196974
751,company,company,1.0,headquarters,0.8269385666275973,name,0.8237336253796688
3842,weapons,weapons,1.0,equipment,0.8244000965078586,clothing,0.8159701356684774
1182,facilities,facilities,1.0,equipment,0.9040516425177497,information,0.8861991765297852
995,doctors,doctors,1.0,hospitalization,0.8637697587655684,hospitalfacilities,0.8329322652591689
3467,swpacific,swpacific,1.0,pacifictoughness,0.7634984851407265,usos,0.7374582217663898
675,clothing,clothing,1.0,equipment,0.8684478227682841,supplies,0.8522601834925678
945,discharge,discharge,1.0,dischargees,0.9662221901713167,wac,0.8500948143957354
2509,opinionofallies,opinionofallies,1.0,allies,0.8646417264046481,moraleprogram,0.7198945579075768
2511,opinions,opinions,1.0,attitudes,0.8885868163961499,information,0.8189675948197972
2159,mission,mission,1.0,duty,0.8904524898643954,orientation,0.8816815933015119
3446,suppies,supplies,1.0,rations,0.8675350965701599,equipment,0.8618006206433346
2552,overseascombat,overseascombat,1.0,combat,0.7727496676526049,armyinsurance,0.7344442745989626
973,dispensaries,dispensaries,1.0,medicaldispensaries,0.7894394752013572,separationcenters,0.7495618065978228
952,discipline,discipline,1.0,duty,0.8835545866427108,leadershi,0.8434432148335547
3603,treatmentofpows,treatmentofpows,1.0,pows,0.8647290909327914,demobilization,0.5956413103868201
2734,postwaropportunities,postwaropportunities,1.0,postwarexpections,0.9484462135502634,postwarworld,0.9370947991101849
2127,militarypolice,militarypolice,1.0,armytalks,0.7308965467674596,officers,0.7124786584681385
841,currentevents,currentevents,1.0,mission,0.8020984046929704,attitudes,0.8010388463321718
2729,postwarexpections,postwarexpections,1.0,postwaropportunities,0.9484462135502634,postwarworld,0.9419282550583445
66,adjustment,adjustment,1.0,orientation,0.8793138927687321,evaluation,0.8791227231700817
2097,mentalhealth,entalhealth,1.0,patientcare,0.6919357372661809,livingconditions,0.6638912080913505
779,confidenceintroops,confidenceintroops,1.0,morale,0.8188414644635185,efficiency,0.7554795007633779
2747,pows,pows,1.0,treatmentofpows,0.8647290909327914,demobilization,0.6577808218415185
778,confidenceinship,confidenceinship,1.0,efficiency,0.7458530072463161,confidenceintroops,0.7453305191889538
2741,postwarworld,postwarworld,1.0,postwar,0.948938447437411,postwarexpections,0.9419282550583445
2728,postwarexpectations,postwarexpections,1.0,postwaropportunities,0.9484462135502634,postwarworld,0.9419282550583445
2251,ncos,ncos,1.0,usos,0.8540582886650141,enlisted,0.807091828058232
2142,minorities,minorities,1.0,racial,0.8157524132352969,blacks,0.7891565778111528
645,civilians,civilians,1.0,localcivilians,0.8975898674601257,workingwithcivilians,0.8594773161248563
647,civilianskills,civilianskills,1.0,civilians,0.7849830677982005,brief,0.7438991960982508
868,decorations,decorations,1.0,clothing,0.8129250074733471,facilities,0.7997235714370767
886,demobilization,demobilization,1.0,redeployment,0.8373262217120264,separationcenters,0.7638655142628511
519,business,business,0.9999999999999998,businessownership,0.8879447078116454,company,0.7151888882998058
1046,duty,duty,0.9999999999999998,mission,0.8904524898643954,discipline,0.8835545866427108
2469,officertraining,officertraining,0.9999999999999998,training,0.7299100458551686,enlisted,0.6998138474626602
2182,morale,morale,0.9999999999999998,moraleprogram,0.9086504469801473,efficiency,0.8384249148729741
360,bbc,bbc,0.9999999999999998,inducationm,0.7075420362185901,usos,0.6836833503838271
1065,education,education,0.9999999999999998,courses,0.7621924153229069,information,0.7418478394297452
714,combatstress,combatstress,0.9999999999999998,combat,0.8049683492552083,aggression,0.7595356315668688
2592,patientcare,patientcare,0.9999999999999998,hospitalization,0.8462920792431989,medicalcare,0.8310161230794711
1718,infantry,infantry,0.9999999999999998,armyliving,0.7874613759243189,combat,0.7740663155862869
2528,orientation,orientation,0.9999999999999998,mission,0.8816815933015119,attitudes,0.8793476020691109
2908,radiolisteninghabits,radiolisteninghabits,0.9999999999999998,mediainfluence,0.5395745336818817,bbc,0.5217270151442259
786,conscription,conscription,0.9999999999999998,draft,0.8477644089089369,enlisted,0.8277829149767474
6,1in10rations,1in10rations,0.9999999999999998,veday,0.5771966135828468,krations,0.5770937022456447
1952,limitedassignments,limitedassignments,0.9999999999999998,brief,0.9089877684415317,noncoms,0.7516940526275796
376,benefits,benefits,0.9999999999999998,entertainment,0.8614951218472775,efficiency,0.8311049680776478
892,dentalcare,dentalcare,0.9999999999999998,medicalcare,0.6192648830295695,dispensaries,0.5764855873134874
2358,noncoms,noncoms,0.9999999999999998,limitedassignments,0.7516940526275796,brief,0.7431542965325626
2827,promotion,promotion,0.9999999999999998,promotions,0.8927550433944372,furtherservice,0.7915736437840498
3575,training,training,0.9999999999999998,retraining,0.8096823525568353,prophylaxis,0.7963524457404588
3778,wac,wac,0.9999999999999998,name,0.8654899156379819,discharge,0.8500948143957354
2686,politicalviews,politicalviews,0.9999999999999998,foreignpolicy,0.7436230424731006,opinions,0.716754072777457
948,dischargees,dischargees,0.9999999999999998,discharge,0.9662221901713167,wac,0.823496274132865
3730,usintheworld,usintheworld,0.9999999999999998,promotions,0.7697919148323058,usos,0.752488933151911
2828,promotions,promotions,0.9999999999999998,promotion,0.8927550433944372,publications,0.8443729618619639
1807,jobevaluation,jobevluation,0.9999999999999998,jobpreference,0.8632957824925215,jobturnover,0.7679225921654954
132,allies,allies,0.9999999999999998,opinionofallies,0.8646417264046481,preparedness,0.7367865339032247
1109,enlisted,enlisted,0.9999999999999998,conscription,0.8277829149767474,ncos,0.807091828058232
1121,entertainment,entertainment,0.9999999999999998,benefits,0.8614951218472775,recreation,0.8597153573114558
577,censorship,censorship,0.9999999999999998,segregation,0.8174068885140351,anxieties,0.7672860340005478
3744,venereal_disease,veneraldisease,0.9999999999999998,hospitalization,0.6958609359541528,medicalcare,0.6676618541783519
1138,equipment,equipment,0.9999999999999998,facilities,0.9040516425177497,clothing,0.8684478227682841
3792,warbonds,warbonds,0.9999999999999998,warindustries,0.8179574090978919,warnews,0.8138138870396396
3160,segregation,segregation,0.9999999999999998,censorship,0.8174068885140351,separationcenters,0.7482154709424794
3745,venereal-disease,veneraldisease,0.9999999999999998,hospitalization,0.6958609359541528,medicalcare,0.6676618541783519
3213,sex,sex,0.9999999999999998,sexcontact,0.9363365709109314,entertainment,0.6203115803959565
3366,starsandstripes,starsandstripes,0.9999999999999998,orientation,0.6894704549972308,usos,0.6606120475440524
2762,preparedness,preparedness,0.9999999999999998,facilities,0.8408672975590937,mission,0.8343310646200954
273,artillery,artillery,0.9999999999999998,combat,0.7602224468675628,infantry,0.7526378813371716
701,combat,combat,0.9999999999999998,combatstress,0.8049683492552083,weapons,0.7828414046174522
3404,strategicbombing,strategicbombing,0.9999999999999998,heavybombardmentgroups,0.7634991990397526,chemicalwarfare,0.7241315178779799
3743,veneraldisease,veneraldisease,0.9999999999999998,hospitalization,0.6958609359541528,medicalcare,0.6676618541783519
349,baseunits,baseunits,0.9999999999999998,headquarters,0.8235445934354414,basenewspapers,0.7940968634233927
2721,postwar,postwar,0.9999999999999998,postwarworld,0.948938447437411,postwarexpections,0.9297128337381231
2510,opinionoftomorrow,opinionoftomorrow,0.9999999999999998,careers,0.6938998371617389,veday,0.6920743482976492
1392,furloughs,furloughs,0.9999999999999998,surrender,0.7247210266319963,timeoff,0.7099383468170128
3233,shows,shows,0.9999999999999457,promotions,0.8275570636198535,facilities,0.8226895696965133
3138,savings,savings,0.9999999999999413,benefits,0.750087876191507,efficiency,0.7199799966973733
432,blacks,blacks,0.9999999999999403,racial,0.8535105122195358,minorities,0.7891565639819299
3094,rules,rules,0.9999999999999402,discipline,0.8250893868949984,duty,0.8113429312307544
2461,officers,officers,0.9999999999999393,servicepersonnel,0.7797928358142976,civilians,0.748807318360086
121,alaska,alaska,0.9999999999999379,swpacific,0.6198327555726973,usos,0.563828622930531
1641,housing,housign,0.9999999999999378,homefront,0.8128225017781792,livingconditions,0.7856982790262509
2893,racial,racial,0.9999999999999377,blacks,0.8535105041107786,minorities,0.815752416304183
2937,rations,rations,0.9999999999999375,supplies,0.8675351100126018,food,0.8160822714235155
2070,media,media,0.9999999999999349,mediainfluence,0.9139601985977549,publications,0.8353661274400985
1094,enemies,enemies,0.9999999999999328,enemyatrocities,0.7975058586345836,aggression,0.7646445281728186
1422,germany,germany,0.9999999999999248,attitudetowardgermany,0.8762692686155051,germans,0.8531456963362437
1791,japan,japan,0.9999999999999226,japanese,0.8461307432517748,japanesesurrender,0.6644237750766444
2934,ratings,ratings,0.9999999999999222,attitudes,0.8014145734321012,facilities,0.7744557050986074
561,careers,careers,0.9999999999999134,company,0.7790012336867547,jobpreference,0.767046987525137
301,attitudetowardgermany,attitudetowardgermany,0.9954576379499738,germany,0.8737622002508096,germanclothing,0.7859434569258392
950,discharges,dischargees,0.9917120528082694,discharge,0.9676356304347764,wac,0.8082664621898077
1462,goldbricks,goldbricking,0.9858995547996009,promotion,0.6089371164068349,ups,0.5837807223065313
3088,rotations,rotation,0.9855584170506235,adjustment,0.8197866528240964,orientation,0.8040378363999813
1851,kids,children,0.9855571058538913,chilhood,0.7058487897810047,equipment,0.6987517039113805
1390,furlough,furloughs,0.9819617737556331,surrender,0.7725609780208896,timeoff,0.7491859186026385
2727,postwarexpectation,postwarexpections,0.9818460393931988,postwaropportunities,0.9479101873502719,postwar,0.9224323357881273
3733,uso,usos,0.9785001314072745,wac,0.8647061782099041,discharge,0.8494825441130228
2716,postexchange,postexchanges,0.9775400165778175,cbiroundup,0.7302553941039783,billeting,0.7210333873532535
3746,venereal-diseases,veneraldisease,0.9759206549749737,hospitalization,0.6865593216145621,medicaldispensaries,0.6779343388462422
3057,returnee,returnees,0.9751871647796599,conversion,0.8106659367208368,mission,0.7998912117469068
608,child,children,0.9738385531583689,chilhood,0.7402884632805222,equipment,0.7211935466726582
2085,medicaltreatment,medicalcare,0.9731407968543508,hospitalization,0.8821654891209029,medicaldispensaries,0.8657165537829166
2959,reccenter,reccenters,0.9708604253440086,prophylaxis,0.7021362988570282,hospitalization,0.7016025069089935
2073,medicalattention,medicalcare,0.9697186865781157,hospitalization,0.8663387769556177,medicaldispensaries,0.8247116965557907
2730,postwarexperience,postwarworld,0.9676988211404138,postwaropportunities,0.9589909050787796,postwarexpections,0.9563288859634895
2083,medicalservices,medicalcare,0.9658277252854094,medicaldispensaries,0.8803537360376249,hospitalization,0.8560177802630212
3803,warindustry,warindustries,0.965574101532377,warbonds,0.7911409636413208,warnews,0.7904873245078927
1460,goldbrick,goldbricking,0.9651721266683705,promotion,0.6167185145676058,ups,0.6053554442856938
1271,film,films,0.9648063589101945,promotions,0.6918101823600875,discharge,0.6693575426016877
2970,redeploy,redeployment,0.96418352565313,reassignment,0.8654350481375722,conversion,0.853138991518285
2507,opinion,opinions,0.9641722151933582,attitudes,0.8659554883012462,evaluation,0.8330663045525813
67,adjustments,adjustment,0.9625647704425786,conversion,0.8608841446061635,reassignment,0.8512235140635805
2250,nco,ncos,0.9610017316112546,usos,0.8608844168434516,headquarters,0.8300501747094303
2736,postwarplans,postwarexpections,0.9582956855573409,postwarworld,0.9470238135231366,postwaropportunities,0.9273481293788418
1443,girls,women,0.9582581312979978,civilians,0.6769576915098175,attitudes,0.6663335068109506
65,adjust,adjustment,0.9582318964468369,orientation,0.8947282133055798,evaluation,0.8877082835924446
1889,leaders,leadershi,0.956145167232017,discipline,0.8339114185957835,mission,0.8208563410208417
1910,leisure,leisuretime,0.9557409364511043,rest,0.8318674608404089,recreation,0.8094465364856409
2740,postwarwork,postwarworld,0.9548120308914835,postwar,0.9492963289252658,postwarexpections,0.9396587122991313
1805,jobchoice,jobpreference,0.9545361939912543,jobevluation,0.8253138851215628,careers,0.8108021182592532
1953,limitedservice,limitedassignments,0.9528882183118357,brief,0.8995568464606035,noncoms,0.8083547641769353
1720,infantrymen,infantry,0.9527167762285776,armyliving,0.755840903243454,combat,0.7482923999396675
2733,postwarlife,postwarworld,0.9522519521900864,postwar,0.9381888282920459,postwarexpections,0.9259736182984577
2949,realignment,reassignment,0.9514671109505809,redeployment,0.8587352268163595,adjustment,0.8478109391853611
228,armylives,armyliving,0.9510410269434351,armfilms,0.8262282000328098,armyinsurance,0.8156612494250215
642,civilianpay,civilianskills,0.9510238826618175,civilians,0.7750267118415903,localcivilians,0.7276321128872986
2724,postwarconcerns,postwarworld,0.9504368505246842,postwarexpections,0.9433872133515433,postwar,0.9262931688957003
2735,postwarplan,postwarexpections,0.949958728847908,postwarworld,0.9475594766969521,postwar,0.9296917123244226
3538,timeaway,timeoff,0.9488991034874374,surrender,0.7960653679670603,noncoms,0.7434466801696109
1095,enemy,enemies,0.9487865631112726,enemyatrocities,0.8385943156577393,enemyvindictiveness,0.8020135761790669
2739,postwarthoughts,postwarexpections,0.9483687353571199,postwarworld,0.9431282938244687,postwaropportunities,0.9406882007890428
632,civilian,civilianskills,0.9481903984223147,civilians,0.8107476073689476,brief,0.7897286127407267
1441,girl,women,0.9474121238032395,attitudes,0.7042531868224512,adjustment,0.6989524862684658
297,attitude,attitudes,0.9468244327975972,orientation,0.8701256748923618,adjustment,0.8574492844982855
635,civiliancareer,civilianskills,0.946564588457653,civilians,0.7321065115218939,brief,0.6889920265357025
2037,man,men,0.9460885855514068,company,0.7477166320605311,attitudes,0.7391564892281479
3159,segregated,segregation,0.9458372110974363,limitedassignments,0.8059335726358758,censorship,0.7970232792122615
2562,pacific,swpacific,0.9453670759307113,pacifictoughness,0.8040064714571988,usos,0.7259471905527136
638,civilianjob,civilianskills,0.9445545480039249,brief,0.7373980808135752,limitedassignments,0.7191362658900581
1143,espiritdecorps,espiritdcorps,0.9424887947835754,pointsystem,0.7638963676467189,discharge,0.7582719626172795
1144,espirtdecorps,espiritdcorps,0.9424887947835754,pointsystem,0.7638963676467189,discharge,0.7582719626172795
2725,postwarcondtitions,postwarworld,0.9422686462598152,postwar,0.9416821566051051,postwarexpections,0.9380151080450426
1850,kid,children,0.9417384972052181,equipment,0.757859396947143,orientation,0.755258857181728
652,civilianwear,civilianskills,0.9413298647381423,civilians,0.7983028879568533,brief,0.7520608473146351
1047,dutybound,duty,0.9413038523849869,discipline,0.8576912476426861,mission,0.8075263210381971
1329,foreignaffairs,foreignpolicy,0.9402520564968001,allies,0.6583480036607702,politicalviews,0.6544385285965147
643,civilianpractices,civilianskills,0.9400916755825821,civilians,0.8193676046103141,localcivilians,0.7459308692688869
1636,hospitals,hospitalfacilities,0.9389717917914344,hospitalization,0.9139366869902474,doctors,0.8485577202977267
2737,postwarquestions,postwarworld,0.9383506049000194,postwarexpections,0.9280845925963709,postwar,0.9273524657595846
166,analysis,evaluation,0.9380598516129637,adjustment,0.8862507227948592,pointsystem,0.8585558586414989
639,civilianjobs,civilianskills,0.938025025956858,civilians,0.7466810637227193,localcivilians,0.7283169303132171
2731,postwarjob,postwarworld,0.9372434211001557,postwar,0.9313663927612185,postwarexpections,0.9234138023358704
2726,postwaremployment,postwarworld,0.9370789124029965,postwaropportunities,0.9367245537920019,postwarexpections,0.9308003649412113
1707,inductioncenter,inducationm,0.9364066599817421,headquarters,0.7756750818356407,usos,0.7600941439672299
2551,overseasbattle,overseascombat,0.9362422964231117,combat,0.7328151915057957,warbonds,0.7264979289400062
1951,limited,limitedassignments,0.9362312674238864,brief,0.9234947943276508,noncoms,0.8072145501808461
225,armylife,armyliving,0.9353848566431266,armfilms,0.8469141893214658,armyinsurance,0.8301876154330448
203,army_life,armyliving,0.9353848566431266,armfilms,0.8469141893214658,armyinsurance,0.8301876154330448
2453,officer,officers,0.9350798027908854,ncos,0.7822935478279802,headquarters,0.753136109391948
375,beneficial,benefits,0.9342685946051583,efficiency,0.8768217928192128,morale,0.8133715820735593
702,combatarea,combat,0.9332065474008274,infantry,0.7889846566664845,overseascombat,0.7671356951117541
1814,jobplacement,jobevluation,0.93220850501426,jobpreference,0.8746034681061655,careers,0.7511959651481973
1158,examination,evaluation,0.9321501281923308,courses,0.861782878310151,adjustment,0.8589041048510475
2639,physician,doctors,0.9320447615992786,hospitalization,0.8630153330782234,patientcare,0.8239999006534747
1420,german,germanclothing,0.9319464525388051,germans,0.9285789249429967,germany,0.87237566893997
2707,position,orientation,0.9314298087454924,mission,0.8870582677080657,adjustment,0.8739740008702714
3272,smalldetails,brief,0.9311976408067466,limitedassignments,0.9207268953452924,civilianskills,0.7238491133955913
1886,leader,leadershi,0.930729479829606,discipline,0.8554571323558605,mission,0.8540491113973069
3230,short,brief,0.9292075805748532,limitedassignments,0.8715998573388669,civilianskills,0.7229273042046455
3147,schooling,education,0.9288243026661231,training,0.7894036427945825,courses,0.7583668479970354
552,capabilities,facilities,0.9288068949220818,information,0.8787523506920816,mission,0.8751108947606334
641,civilianlife,civilianskills,0.9281588506748487,civilians,0.7086490551903681,brief,0.7060794611466106
227,armylifestyle,armyliving,0.9274258329237226,armyinsurance,0.8475242249533045,armytalks,0.8423549487897918
3072,rewards,benefits,0.9273514566344108,entertainment,0.8320557923231312,morale,0.8143683017287484
2536,outfits,clothing,0.9271113240304878,attitudes,0.8403226399491974,orientation,0.8218145459762575
1719,infantrylife,infantry,0.926715184132632,armyliving,0.8309256396221703,armfilms,0.7690590603186019
3343,specialunits,specialservices,0.9262077984601471,weapons,0.736817680101983,equipment,0.7358755960965826
946,dischargebound,dischargees,0.9257267195136977,discharge,0.9186633258054342,usos,0.7815246891446364
1292,fitness,physicalfitness,0.9255069417481233,recreation,0.704013383821319,training,0.6767430900582282
640,civilianlabor,civilianskills,0.9249869489499402,civilians,0.8152586665795412,localcivilians,0.7736632611128598
367,behavior,attitudes,0.9249379876470943,orientation,0.8671521821836614,facilities,0.8551266436900464
2744,pow,pows,0.9246522096030825,enlisted,0.7345442516271082,ups,0.7343736553277833
1822,jobstability,jobsatisfaction,0.9242128105594758,efficiency,0.8156489997216824,morale,0.768325989386051
1391,furloughpolicy,furloughs,0.9233800847793346,timeoff,0.7184875331263082,surrender,0.717962493553304
2355,non-commissioned,noncoms,0.923169490031746,limitedassignments,0.7736337722673227,brief,0.7417192198929755
2723,postwarboom,postwaropportunities,0.9231117088259067,postwarworld,0.906695021771684,postwarexpections,0.896057083452898
3692,unjust,vindictiveness,0.9227086962636628,enemyvindictiveness,0.8535112876687914,censorship,0.8090534556303829
3777,waac,wac,0.9225808456969757,usos,0.850577016051204,discharge,0.8237973910948918
2672,pointssystem,pointsystem,0.9217938868284901,evaluation,0.8373560160314516,orientation,0.7953321476485757
3042,responsibility,duty,0.9213275636733379,mission,0.868168791044777,discipline,0.8494441047759702
2732,postwarjobs,postwarworld,0.9211421335831818,postwaropportunities,0.9200071484828812,postwarexpections,0.9008999449395345
2649,placement,orientation,0.9200323690805093,evaluation,0.8954285129258185,adjustment,0.8891820910286876
269,arrogance,vindictiveness,0.9187838576537319,enemyvindictiveness,0.8397582829863105,censorship,0.8177800616439947
2107,messhalls,mess,0.9187065075954894,censorship,0.7200313470825173,separationcenters,0.7122332201268837
82,africanamericans,blacks,0.9182047938186475,racial,0.8289800310191616,minorities,0.7998620946550303
559,career,careers,0.9181999283967794,company,0.8312092480165344,mission,0.7935423556082166
1747,insubordination,vindictiveness,0.9173882895392295,enemyvindictiveness,0.8646619083830114,anxieties,0.8429552311227526
3765,violence,aggression,0.9170933263121773,enemies,0.7489666384147002,censorship,0.7427191820066712
994,doctor,doctors,0.9166450460297407,hospitalization,0.7869215161980064,hospitalfacilities,0.7284991815061259
1725,informality,brief,0.9161885840563497,limitedassignments,0.8684853177675876,civilianskills,0.7772118186204011
2098,mentality,attitudes,0.9160841282148966,orientation,0.8323530752976258,facilities,0.8313159007889062
2048,marital,maritalstatus,0.9159565980723342,company,0.7233185483843874,careers,0.6884193935537689
3766,violent,aggression,0.9159149128074069,combatstress,0.7471590522058846,enemies,0.723948400642462
2591,patient,patientcare,0.9158647810077004,doctors,0.847256634688225,hospitalization,0.8182671614284874
1192,faint,brief,0.9154667749899951,limitedassignments,0.8535944602308637,anxieties,0.7219438776245751
3459,survey,evaluation,0.914722910168479,adjustment,0.8722208859059161,mission,0.871796223774637
3217,sexrelationships,sexcontact,0.9146838706422912,sex,0.8423902987523336,maritalstatus,0.5376606048505135
280,assignment,mission,0.9144551892278941,evaluation,0.8950652942793427,orientation,0.8797325153313676
2535,outfit,clothing,0.913155523676568,orientation,0.8939495048971211,attitudes,0.8614551232680092
2505,operations,mission,0.9130650350961707,evaluation,0.8864431156650776,courses,0.8737022362657882
1958,list,name,0.9127116101093069,malary,0.8523212660425563,evaluation,0.8513645523861378
2357,noncombatant,noncoms,0.9124522545393005,limitedassignments,0.7750763368388875,brief,0.7590185162204615
524,businessowner,businessownership,0.9123476927728936,business,0.8717182225760858,company,0.6229708060723398
3515,thatcivilianlife,civilianskills,0.9113316913158764,brief,0.7085380234007193,efficiency,0.706926059566238
1694,indecisive,vindictiveness,0.9110221315679474,anxieties,0.8632814261710614,enemyvindictiveness,0.8339854164013648
2553,overseasduty,overseascombat,0.9108192156204626,returnees,0.7724283718185332,baseunits,0.7640689745248189
2849,purpose,mission,0.9108172695961628,duty,0.8904548158453262,orientation,0.8497305408383907
345,base,baseunits,0.9106507206596631,headquarters,0.8701316505215159,orientation,0.8258003511171897
