,Response,Best Approx,Similarity
10,"The questions I have seen are good & now whats to be done about some of them? The spaces where I have marked undecided, was because I wansn't sure, not knowing clearly","The only thing I do have to say is,[unclear][/unclear] of all the different kind of questions that was asked, it is a good way of checking up on the [unclear][/unclear] some time I lay in my bed and think, and just say to my self why dont they have [unclear][/unclear] things. And this is the only chance or opportunity I have had to explain my ideas of yet what I think and I hope evertything I have said will do us good and yet [unclear][/unclear] some day in the future. And we hope that sooner or later the war will be over[deletion][/deletion] not [unclear][/unclear] but all of us can return home and enjoy the other part of our life",0.7269449234008789
11,I only hope answer will help to find out just what you want to know.,I really would like to know what all of these questions consist of. I hope I soon find out.,0.6823070049285889
12,think we going to win this war,I hope that we win the war,0.8901300430297852
13,"I think this questionaire is made not complete & sufficient,- there's only one thing I have against this many & that is when we left our last camp & came to this place, it was told to us that our furloughe wold follow after our six months in service was up & we wold get 15 days every six months. That [unclear][/unclear] about furlough has been evacuated. Since we are over here in the U.S. and not over seas fighting, we should be granted the priviledge of seeing our people. Because if we were to go over seas, many wouldn't be fortunate to return. So he should be able to abide with his people while he's still here. After his had his training.",I think we should at least have 15 days every six months to go home[.] [unclear] eight month I have not been home. Why was Negros sent south to the training most all the marching Negroes are sent far south. I think if we were training in our own states [unclear] the east [unclear] midd west we all would be much better soldier the we are now in the South it is n place for us to go or [unclear] in my state there is always places for Negroes soldier to [unclear]have fun an the walking [unclear][unclear][unclear] doing a hard week work.,0.6829670667648315
14,"I think this questionnaire was a good idea to give all the opportunity to express himself, and let the war department know what the negro thinks of the war.",I think this questionnaire is a very good idea if it will help. It gives the negro a chance to express his ideas and let the commanding officer know what we think of our U.S Army. ,0.7983909845352173
15,The Infantry is all right but it is to much walking.,Hiking is too strenuous for soldiers.,0.5896598100662231
16,"There are to much Jim Crowism in the army. The negro are not given a fair chance in all branches of the service. My camp doesn't have the proper vocation for negroes. The white officers are more hand on negro than white. and use worse language to negro and say they don't see what what negroes are fighting for it wont be any better after the war. I don't think men above thirty eight can make good soldiers. They cant take the hand treatment as younger me, but would be at more service on the homefront, and there shouldn't be so much red tape, but discharge at once, they [unclear][/unclear] cant stand up but are bitter worker than men that are much younger. ",I don't think a Negro has as good a chance for any kind of a office in of out of the U.S. Army. If he get anything worth while in or out of the Army he has to put up a fight for it. The White can get most anything they ask for. Negros goes through a lot of [unclear]effenese[/unclear] for difficult jobs and still don't get them. A White man gets the job that doesn't have the ability the negro does.,0.8227632641792297
17,to my idear I do thank as a United [unclear][/unclear] we should come to gather. I am under the same rule and regulation the White man is. and I am human the same as he I have to live just like dose. and we do as a colord race obey the law Better than he dose. how would you like for the colord race. two take your mother out and hang her to a tree and beet her to death. are your wife sister Brother are farther,"These are my personal feeling according to laws of nature and the constitution of U.S. (all men are created equal and as far as nature is concerned there are no exceptions as far as humans are concerned. Why give the minority group the culls. If our lives are at stake as the other group why not treat all the same. Life to one person means as much to him as life means to another (regardless) We all should be a little more broad minded about the fact and let's come down off of our superiorty complex and accuse ourself just if you look at it in this sense you will Find the slack in the Negro is due to improper recoginition and slander. Rarely do you find one directly trying to hinder our mission. Think about these things!!!! If you poison us we die, if you tickle us we laugh if you prick us we'll bleed. If we resemble you in this we should resemble you in all others.",0.7186462879180908
18,My personal comment about this questionaire would be [unclear][/unclear]. I would like to see the enter mixing of both while [unclear][/unclear] found soldiers that would be the greatful [unclear][/unclear] to [unclear][/unclear] [unclear][/unclear] [unclear][/unclear] [unclear][/unclear]. ,The reason why [unclear]I[/unclear] rather be in some other [unclear][/unclear][unclear][/unclear][unclear][/unclear] are not being treated as we should be the [unclear][/unclear] non [unclear][/unclear] officers that we have do not treat us like we are soldiers. They treat us like we are not human beings if I could I would like to be transferred back to the reception center where I was inducted from some of the non [unclear][/unclear] are very good but the most of them are terrible. dont care what we do they are never pleased what [unclear][/unclear] do. never get any praise for it. I know we are not being treated as we should lots more I could say,0.6491946578025818
19,I am a negro soldier I would like very much to get ahead but my phiscal condition will not premit it. But with a little medical attention I could be fit and able to get ahead but in my present condition I am not fit for any position in any branch of the armed forces.,"Well the only thing I can say that we are in the army it is true, but we don't have any choice at anything. I am trying to make some thing [something] out of myself but they wont [won't] give me a chance. I think I can help my country more than what I am [unclear]now[/unclear]. I am sure I will do better. The negroes are egear [eager] but they dont [don't] have their mind on the war. They dont [don't] realize how important it is. But if they give us a chance or treat us better we will fight better.",0.7494434118270874
20,I have been in pain ever since I been in the army. I suffer with my legs and back,"I don't like the army worth a fuck. I'm here because I'm forced to be here. I was double timed into the army. My toughest job is trying to keep up with the other soldiers. I wouldn't be of any benefit to a combat unit, since I can't keep up.",0.6272589564323425
21,Well I only have a short one that is if I was not expose to such hard punishment to the body I would not mind it to not be in such a good health. Also I would like to be near home so I could carry on the married life that was carrying on. If I had that I would not mind fighting at all but it look as though they try to make you forget about home but it impossible for me because the life I went and the job I had I made a swell life of it.,"If I must fight for something I may never have [unclear]then[/unclear] I consider that my life isn't worth a dime. If [unclear]there[/unclear] and other places such as my hometown where we eat, play and do everything else together as a whole why can't other live after that pattern of the new england states. Then I would feel that to fight was a great privilege granted me, rather than a do or die act. Something of force or wrecking your life if you refuse. Thank you.",0.7336962819099426
22,I consider this questionnaire the best thing could have ever happened that is if these opinions of Negro soldiers will be given any consideration as near as possible,This is the best questionnaire I have ever filled out. It gives the Negro a chance to express his feeling to some one who will try and help them,0.7963311672210693
23,the questionnaire was all right And I like them questions they were all right some of them questions were O.K. and some of them were not but I made out with them.,I think the questionnaire was very fair. And thanks for the chance to write or anser a few questions. ,0.7432348728179932
24,the army is a very nise place we can have fun and then we can win the war and [unclear][/unclear] it will help you in your live in the Civilians life and when i go home it make me walk pride and every body like soilder my Home Every body help a soilder.,As for myself - i like army life. And i always did and do now. Like to travle [travel] and see diferent parts of the world. but now my age and bein unfit to do army duties. i feel like i could help my country win this war better by working in a defince [defence] plant back home,0.7618043422698975
25,"I have been asked to give my honest + frank opinion of the Army and the war, its effect for the negro. So Ive done that and feel very confident that the information Ive given, the true and I still rely on God and his all mighty power. Personally I like the Army and have [unclear] in peace time soldier. Lets all hope + pray for the best, I dont think there is no man who in his heart wants to murder + kill, but this task is before us, and we must by all might try to win",I think the questionnire are fine My self is realy enjoy trying to ans. [answer] them and they are [unclear][/unclear] larger and they [unclear]mean[/unclear] a lot to think about and they seem to be fair [paragraph] I think the idea about white and negro solider in service clubs [unclear][/unclear] the same because we all are in the army fighting for the same thing [paragraph] It dont make any different weather negro and white soldier what not in the same out fit because we all are fighting the war,0.7912610769271851
26,I think the Army is a good thing thats how [I] lake it. But I dont lake to fight killing is not my living Army is all rite if we can go home more after. I think the white + calard soldiers should mix together more often to see what each of us is doin I think they should let those mens go home that no good to the Army + get some young fellow that can fight to help win this war,____ if we work together then it well be better for all this is everybody war not one [unclear][/unclear] so when we get together then we can work together eat together play together we can win the war and come back home and rego [unclear][/unclear] but cant till we work together it well be mess and a hell to calm me myself i dont mine if we well work lake brother i well do all i can do for all not one but all so lest try and work lake brother so we can go home with [unclear][/unclear] wife mother and farther good luck to all.,0.7536321878433228
27,Why do they let all white drive trucks in this Ser. Unit and no colored. And make the colored shovel coal all the time. Why is it no negro cant get a job in the motor pools. Because the white soldiers are from all parts of the country and they have the feeling they are better than the negro.,I think this is a very good idea for I know for sure that most of the soldiers down here regardless of what outfit they are in are dissatisfied with this camp for one can hear it every day anywhere you go. I chose the ordnance because I am a Diesel mechanic and I am in the [unclear][/unclear]. and I love mechanic work that is Diesel of wich I think would help me after the war is won but now I have no future to look to,0.6666015386581421
28,I think this questionnaire have given me a chance to express a lot of opinions that I would like to express and hope that it will help my self and the Government.,I think the questionnaire is a very good idea so that some can express his thoughts.,0.6955198645591736
29,22 - Reason men dont cooperate is that they are dissatistfied too.,"I think the non coms have to like a man before they will reccommend him for an [unclear]rating[/unclear] instead of rating a man according to what he knows or how he [unclear]soldiers[/unclear] ----------------- In our [unclear][/unclear] the Company Company Commander is a Captain he is about 23 yr old and is very afraid of the Major he havent Rated a single new man out of 75 not higher then a P.f [unclear]Cras[/unclear] & most the Restf the 175 souldiers si that were with us are [unclear]seperad[/unclear] in to different Companys all of them have made Cpl - F5 & sgt even most of them were unqualified in their Basic Training, I guess you see how the officals are running [unclear][/unclear] H. 47. B. M. Fort Sill Okla",0.5496606826782227
30,"8. With a commission, yes otherwise not 30. If I had a commission I would rather be overseas 43. We shall defeat our enemies and force them to surrender, but if we consider what it has cost us in human lives and hardships we will find a somewhat hollow victory. If this war was the War that would end all wars then the victory would be complete 57. If a white solider falls, he died fighting for Democracy which was his to enjoy. If a negro soldier falls, he died for the Democracy he wanted to enjoy 60. If the victory can be won without us they will win it with out us. If not they will use us. ""To the victor belong the Spoils""","I think we would be able to win this war much quicker if colored Soldiers were given the same chance as the white. I also think that the Southern white people are doing more to [insertion]make us[/insertion] lose this war than the German or a Japanese because they are treating colored soldier like dogs you read the paper + it tell you about some colored soldiers being hanged without a fair trial witch is not true democracy it is thing like that which makes me feel like I have nothing to fight for or I should fight here in the U.S. to bring about the right that colored people are supposed to have. It makes a soldier feel like hell to go in the store and the waiter tell him, we don't serve colored people here or you have to go around the back door to get it. ",0.7942793369293213
31,"45, We build this Nation a mush as any race. Fought in every war. Never [unclear][/unclear] a fight. We are true Americans.",I Ben [been] in the [deletion]ary[/deletion] army since Sep-42. I have been treated Very good. Have not had any trouble at all. I am willing to do whatever I can to help Win this War. ,0.614745020866394
32,Since we are fighting for the same thing we should all be trusted the way and have the same rights as everyone else should. this is our country so we should fight and pull together.,We should be treated the same because every one is fighting for the same purpose.,0.8054460287094116
33,I have a good commanding officer + all lutinents are swell. I had rather be in the army then out in civilian life. ,Everything considering circumstances are generally favorable and I as a whole like army life.,0.7180529832839966
34,The giving of such a test is an excellent idea.,I think that this questionnaire is a very good idea.,0.8086426258087158
35,It might be a good idea to have every soldier thoroughly trained before sending him into combat. Also he should be physically fit to do the job.,We are in a great war and a hard war and for that reason I think everyone should be given a fair chance to exercise his knowledge or ability but to do the things he is capable of doing best if the particular branch of service he is interested in does not come up to the standard of the Army I think he should be taught on instructed in this particular field until he is qualified This I believe would help the individual more but at the same time be of more service to the country as a whole would mean a more hasty victory,0.6402916312217712
36,The army has its good point and its bad. I think the Negro should have a better chance in the army. I think a Negro should be able to lead both white and color. We as Negroes want a double victory,The army is not fair because there are a number of negroes that could hold positions that white are holding now that right fully belongs to negroes. Sine [since] we are to help win the war we should be given an equal chance to show what we can do.,0.82598876953125
37,This is an interesting questiner [questionnaire] and I would like to say that if whites and negroes should mix now in RXs service clubs etc when the war did end we would be better acquantied than before. And I wish to say that I don't mind dieing for my country. My folks are Americans and it is no reason in the world that I should resent defending them against them bastards over there. And I myself is ready to die for my country. I can think of no other country in the world I would like to have my daughter brought up with or without me.,I myself join the army to help better the condition my race is in and I don't think there should be any seperating at all in the army you see bullet the killer as no eyes he kills anybody and everyone even you or me could be buddy if it wasn't for the way thing are done in the United State I love my family and I have a wonder girl to return to maybe get marryd if the [unclear]times[/unclear] are that not to be expected. [paragraph] the thing war department to help we Negro soldier is to stop this nasty ways of seperating of our people from White are blood run through veins too and it is red [paragraph] I hope to return to my family soon but I'm not affraid of the war because I'd be a soldier to seems people get a [unclear]rease[/unclear] in this world. ,0.7511286735534668
38,I think this is a very goot idia getting the oppion of the Soldiers an I am leaving for over sea we have all ready ben arleted an i am gladde,the army is every under fair to for one thing is that I am a limet seaver man an after the war is over are not going to be like thay are now and I want have a chance for there is so many thing I could do to help win the an would myself my people al so many man out not a thing go up on so many in here I would like to do that I cant for the cause of alment that happen to me fofor I came in the army - so is not thing unite state will about it on I thing under fair,0.5769655704498291
39,I think this idea of having the soldier to give his oppinion is a very good idea + should be asked of every one in the service. When try to do as most of them feel like should be done. As soon as the white people fine out that they are no better than the negro. Then the world would be a better place to live in.,"I think if the Negroes were to be treated or given equality or rights every Negro would be willing to sacrifice his life for advancement of the U.S. And they will really make soldiers. And if they were to be treated better by their officers in whom they are in charge of they would really soldier for them. But unless that there will always be forcing, which is no advancement in their particular unit in which they are connected with. Our Negro soldiers can make good soldiers and will under certain conditions. In my conclusion, it may be years or centuries but all men will be an equality. It’s only time can bring about such changes. All men should treat his fellow man as his self. There would be no wars to fight. Or men to be slaughtered in it.",0.8057193160057068
40,It is obvious that you know you are questioning colored soldiers. So if you ask them for their frank opinions. Why not take them into consideration and give him the breaks and other privileges that help to make a soldier fight harder for the things you say we are fighting for and not treat us as if we were not wanted. I am expressing my opinion and I know that same sentiment is carried by most of the men in my outfit.,I think the questionnire are fine My self is realy enjoy trying to ans. [answer] them and they are [unclear][/unclear] larger and they [unclear]mean[/unclear] a lot to think about and they seem to be fair [paragraph] I think the idea about white and negro solider in service clubs [unclear][/unclear] the same because we all are in the army fighting for the same thing [paragraph] It dont make any different weather negro and white soldier what not in the same out fit because we all are fighting the war,0.765387773513794
41,A colored soldier will never get the equal breaks a white soldier gets. A white soldier gets more priveledges than a colored soldier.,if we win the war we will not be treated any better then before the war. Colored Soldiers should be treated more like soldiers and not like prisons and then we would feel more like fighting for this Country. but the [unclear][/unclear] Colored Solder is treated so cruel by the white officer until he have almost lost all of his will to fight for his or any ones[insertion]els[/insertion] Country Most of the white officers from the South dont know how to treat a Colored Soldier. and that makes it hard to be a true and good soldier.,0.6281002759933472
42,The way the negro is treated [unclear][/unclear] with the section of the Country. It is much better in the north with northern Officers. I had rather have negro Officer with same power as white but usually they must take Order from whites who is in most cases the highest ranking officer. We should give our lives for this Country but we should also insist that we be treated as any other American after the war.,"The Army is a fine organization to be a member of, but some things are against the negro from the beginning. I am mostly referring about the Southern Officers who seem to think the negro is and always will be something he can master. I'd rather be stationed up north where I would be treated more fairly. I think the Army uniform is a symbol of citizenship to all Loyal Americans and I am proud to wear it, but I want it to mean something to me also. Most Discrimination is uncalled for and I hope it is soon abolished entirely. There are many positions in that we are qualified for, but there doesn't seem to be any way of securing them. Still, in all, if I am allowed the privilege of visiting foreign soil I wouldn't attempt to shirk any duty i'd be called upon to perform. The welfare of the United States and its occupants will always be our duty to protect and I endeavor doing my part regardless of dangers therein.",0.8094136118888855
43,"My Battery Commander is a very strict man that doesn't care much for colored people, and he wont give ratings as he should, I believe if I have ability to do certain things and is a good soldier I deserve a rating of some kind. Thank you a soldier of the U.S. Army",our first sergent [sergeant] is too old for this modern warfare and does not know how to talk to a person in a civil sense and civil tone in his head. With out him in our company it would be a fine company to be in. But [unclear][/unclear] is he makes it or nobody likes the army. Even the [unclear]deep[/unclear] who volunteer don't like reminder of him. And they should. the thing a person can't stand is cussing all the time at them. And he cusses at the whole outfit,0.7800841927528381
44,Thank you,I think it is good,0.7351502180099487
45,"Q(44) I think that the rights of the negro will be the same or even worse after the war. In Miss. there are lynchers, also lynch leader who are wearing state polices buttons, the law in miss its self are with the lynchers. I was reading an article in the paper today. There was a Colored soldier and Col. woman in a cafe passing licks (blows) a law saw them came in there and began to beat the Col. soldier on the head with a his blackjack. Another white man was passing in a truck saw it stops, came in with a iron bar and began beating the soldier. The law was standing watching the soldier's blood drop on the street and wouldn't attemp to do anything. Sir, I hope I live to see Col. people be given equal throughout the U.S.","I think that all negroes should be trained in Northern States and Northern States only. I have seen the negro treated wose [worse] since the war started, than ever before, I have seen white curse beat and shoot negro soldier and not anything done about it. I have seen white officer turn negroes over to white M.Ps to beat and even hang if they want to. I have read of incident where white officer have made statement about Negroes that would cause a race riot at my home. Negroes in the Southern camps as forced to walk guard with pix handles for weapons, do you call this fair for the negroes or not?",0.6850235462188721
46,For it very hard to get white an negroes to stay together without fighing[fighting],Why are the negroes fighting if they would have had a good reason to fight they'd feel more like fighting. The negro really is not being treated fairly.,0.7345328330993652
47,I have been in 4 difference camp and I have not had a chance to do what I could do am have not had my chance to speak what I thought was right negro in the south are prison and above this line they are treated some betters. An I hope to see the day when we will have the equal chance.,"The American people as a hold should live together work together in every respect. I think the past many years of the negro race as slaves, was very difficult. Now he have more privlidges to show his talent. But the negros in the South don't have much privlidges as the Negro in the North, Because the white man in the South think about the Color of the [unclear]skin[/unclear] rather then the talent. I think negro should be given a equal Chance, at least as much as the Northern Negros get. Now is the time for all races to pull together in a period of war. When even the [unclear]turone[/unclear] races do so, The negro could say; more plane, this is worthy fighting for.",0.6045137643814087
48,i would like to all negro Lt i believe [unclear]wyl [/unclear]will be treated better,"there is not [unclear][/unclear] [unclear][/unclear] for me to say all i would like to but i will say this I dont think [unclear][/unclear] is pleased at the way the negroes are being treated. I think that we should have equal rights, after all we are living in a so called [unclear][/unclear] and we should we be treated accordingly.",0.7631945013999939
49,I don't [insertion]know [/insertion]whether I made myself clear or not but the main thing I'm trying to say is as long as you have (jim crow) in the U.S. you wont have a very good negro soldier. but if you throw that out (and the people in the White house can do it if they want to) you would have some of the best fighting Soldiers ever stood up in a pair of G.I. shoes. and if you don't believe it just give them that chance and see for yourself.,"I was mostly interested in the question about the negro and the white soldier. But this is way I feel about it. Soldiers that come from South let them stay in the south and soldiers that come from the North, let them stay there, and things would work out more better. Why, because organations like, the Klux Klan - would make it very much hard for northern negro soldiers because most of them are not used to this Jim Crow. Because arguments and fights would always be occurring. And another thing is that is, if the United States wants to win the War, then the war between White and negro people in the U.S.A. mainly in the south. And dont put southern white officers over northern Negro soldier, because it just wont work out.",0.7288656234741211
50,Know othere comments i has to say,Some of the questioning is all visible(?) so far. ,0.5791275501251221
51,"The only thing I'm waiting for is [unclear]duration[/unclear] and 6 mos.[months] [paragraph] This survey is a good thing, but as usual any thing concerning a negro is never looked into as it should- so this seems like a waste of time. [paragraph] Every thing I said is my opinion only if I could come true I might like the army",Army life is OK - as long as you know what you is fighting for. Freedom and Security I am fighting for both. There should be no discrimination among the people because of Color. The South is unfair to the Negro soldier not all people but the majority of people in the South is very toward I think some-thing should be done because you lose your fighting spirit it makes you stop and think what am I fighting for when the very people I am fighting for call me regular names. I look over this remark because they are ignorant,0.7362056374549866
52,I don't have any more to say,I don't have any thing to say about it all.,0.8210991621017456
53,(Part 77) There should be no difference how a man is arranged white or colored everyone has to fight an if its necessary for both to fight there should be no prejudice on either side.,Expl. 75. White men & Negro men should learn to know the ways of each other now because when they are in the combat zone there is no way for the two to learn one another. If the plans are for Negro units & white unites[units] to fight separately then there is no need for association here.,0.711807131767273
54,I don't have any trouble with any body We all seem to be willin to do what lever we can where lever we can,"As far as I understand, I don't have any complaint about this. We should do right, do our share, and be kind to each other. Be friendly and share together. Treat everyone as we should. I believe in doing right for to help others.",0.5489363670349121
55,Our Batry[Battery][/insertion] Commander do not like Colored solgers[soldiers] he is from the south & have southern ways he Do not like to see us have any receration[recreation] at all I Believe a Colored officer no how we all feel and would lie us a chance to live & let live speaking for a whole we don't think mutch of our B.C. I would like a Colored supior[superior] officer not [unclear][/unclear][unclear][/unclear] on the White man I would give my life for the Commander in Chief any day for the support of my family,"President Sir I think that the Colored men are getting a raw Deal although we are doing our part to help win this war so that we Could be able to Worship a God that will Do right towards all of us in a free world and as much as we toil and work Hard Day and night we still Dont Get any Credit Evan [even] when our Inspecting General Davis was Inspecting the south he find a lots of things wrong and how the Colored Troops or [are] being treated By the Southern Officer and as soon as we told Him how they treated us our Commander work us like a Dog - Then restrict us to the area. And I mean we really work Because we always had In mind that we had a war to win and will win Because we are on God side sir. I have been a good Soldier Ever since July 9, 1941 Sir and haven't got any credit yet. That what i want to do Be a Good Soldier for my country sir thats all.",0.798850953578949
56,"Some of the questions in this questionnaire, should have had why in some of the questions, kind of unfair and hard to answer.",Well I am very sorry that I don't know what the meaning having to answer question and don't quite understand why. But hope to [unclear][/unclear] what was the reason.,0.6675896644592285
57,"A very thoughtful questionnary hope my thoughts can help win the war there, as well as help solve the racial problem here, Thanks.",I am glad I had the chance to speak my opinion of this war and what it would mean for the [deletion][/deletion] progress of the Blackman. I will not do any good I'm quite sure but that the feeling I have.,0.7502900958061218
58,"What have the colored people got to fight for? There a flag but it belong to the white people. Everything the colored people got it come from the white people. What they say goes, it nothing can be done about it. Just for an example (lynching)",What makes the white people pull against the colored people? they are all fighting for the same thing,0.7075915336608887
59,I don't think white and colored soldiers should have the same P.X. or [unclear][/unclear] and that way it won't be no misunderstanding between them if white soldier from the south see you call with one is lady he would want to fight,I do not thank it is a good idea for negro and White Soldiers to be separate because we are all in this war together and we are all fighting for the same thing? Why should the Negro Soldiers be fighting this is not has war? We are a part of the United States but this is not our war. We live in the United States and thank the same way they Whites do but We are not treaters right.,0.7550554275512695
60,"You will notice throughout this questionnaire that I am opposed to segregation not that I personally care to associate with whites but only to give the masses of both groups a chance to mingle freely with one another and thereby learn that there are good & bad in both groups. Also that when given the same opportunity Negros are as capable as whites. In our outfit some of the officers seem to feel that [deletion][/deletion] Negros haven't the ability & the stamina necessary to become officers, yet there are many instances where Negro officers have proved there merit. I feel that being a Negro soldier & valuing my life as much as any white & having to take the same chances in battle I should be allowed all the rights & priviledges & opportunities that are given white soldiers, and that Negro civilians should have same opportunities as white civilians.","Being in an all colored Division as I am, there are a lot of problems here that do not come up in a mixed camp. We have some colored & some white officers but I would rather serve under a colored officer because he understands me & has more interest in my well-being. The white soldier has more branches which he can choose and apply for . even if I do qualify for a certain position I cannot take it because of my race not because of my ability to [unclear]fill[/unclear] a job. [paragraph] My opinion is that Negro Officers do as good a job as white officers but are just not given an equal chance to prove their ability.",0.8668562173843384
61,I hope some of the questions in here will come out all-right.,I think some of the questions are good.,0.8215331435203552
62,"I think this questionaire is absolutely unfair; these questions that have been asked are the same old conditions that has confronted the negro and is common knowledge. The results of such, we all know are nil. Since any of these conditions stated could and would have been at least partially solved by introducing them and inforcing them. The conditions under which the negro soldier is laboring not only corroborates the fact that he is doing more than his share, but makes him stand out as a superhuman. Funny, the potential strength of this nation could exceed itself by such a margin, If ? a house divided cannot stand and will not stand. I dare say the Economic, Political and Social status of this nation would be greatly affect by this recognition. Are we really feared? I can only see that given the opportunity we rightful deserve it would make us the strongest nation in its world and serve as a TRUE BEACON LIGHT - DEMOCRACY to my mind is the best form of Government that we know to date but it must be a TRUE DEMOCRACY regardless of Race, Color or Creed","Concerning the question ""Are you ever worried or upbeat,"" I would like to say that I am, due to having to live in an atmosphere wholly foreign to the one I have lived in for forty-five years. It is a mockery to be told that one is fighting for democracy when one has to suffer undemocratic treatment as a soldier. What sustains me is a faith in the idealistic intentions of our President.  I think the Negro is doing more than his share to help win the war because he is given most of the dirty jobs regardless of individual fitness for other kinds of work. ",0.7537479400634766
