index,response,choice,match,match_choice,score
433,White's feel they are better.,separate,They would feel better about it and so would the white soldiers,separate,0.877735549050838
673,They would feel better about it and so would the white soldiers,separate,White's feel they are better.,separate,0.877735549050838
1252,Negroes feel out of place with whites same as whites would feel out of place with negroes,separate,Negroes feel inferior when with white people.,separate,0.8759710983366368
1120,Negroes feel inferior when with white people.,separate,Negroes feel out of place with whites same as whites would feel out of place with negroes,separate,0.8759710983366368
508,Negro's and whites just wouldn't get along together if they were mixed,separate,because negros and whites doesn't work well enough together,separate,0.8754796432593022
928,comment 60,separate,See question 60,separate,0.8751410890966558
990,They can't allways get along.,separate,They couldn't get along together.,separate,0.8748680702896414
1169,"They would cooperate better in separate outfits, in my opinion",separate,Because they would get along better in separate outfits.,separate,0.8748057323251663
923,They would work better when in their own outfit,separate,They can get along better in their own outfits.,separate,0.8744074981015493
180,"I would not want to sleep in the same place, and I don't think you would.",separate,I wouldn't want to Sleep with them.,separate,0.8732869031488218
989,I wouldn't want to Sleep with them.,separate,"I would not want to sleep in the same place, and I don't think you would.",separate,0.8732869031488218
249,Too many white soldiers are prejudiced against the negro,separate,because there are many white soldiers who would not like to be with negroes. ,separate,0.8728585491097072
506,They would feel better if they were with their own kind and so would the white soldier.,separate,They would feel better about it and so would the white soldiers,separate,0.8722583080383431
129,There would be too much friction,separate,There would be too much strife and trouble.,separate,0.8705116433767637
838,I have no comments.,separate,No comments,separate,0.870388657474993
817,No comments,separate,I have no comments.,separate,0.870388657474993
562,The Negro is a different race of person altogether and should be kept in his place.,separate,A negro is a negro and should be kept in his place.,separate,0.8700089300291269
360,Shouldnt mix,separate,They shouldn't mix,separate,0.8683807647018127
947,They shouldn't mix,separate,Shouldnt mix,separate,0.8683807647018127
697,Because white people can't work with Negro's,separate,white people & negroes would not get along,separate,0.8678395320136342
798,I just don't like negros and most of the southern people don't either,separate,Southern people don't like to associate with negroes.,separate,0.8678062812084028
1100,They feel better if they are with their own race,separate,They get along better with their own race,separate,0.8675005452184552
631,They get along better with their own race,separate,They feel better if they are with their own race,separate,0.8675005452184552
128,What have we in common with a negro? They should stay in their place. ,separate,A negro Should stay in his place.,separate,0.8672071651462164
171,I think there would be trouble always between them,separate,there would be trouble all the time,separate,0.8668592487145206
172,there would be trouble all the time,separate,I think there would be trouble always between them,separate,0.8668592487145206
99,Definitely,separate,yes,separate,0.8665042351216041
857,For the dislike between some white people and negros,separate,because the white people don't like negros,separate,0.8662703937298025
91,There would be to much trouble if both races were together.,separate,There is liable to be trouble between the two races.,separate,0.8657934919629318
624,There is liable to be trouble between the two races.,separate,There would be to much trouble if both races were together.,separate,0.8657934919629318
969,They couldn't get along in groups.,separate,They couldn't get along together.,separate,0.8652431844008799
181,same as qt. number - 60.,separate,Same as answer 60.,separate,0.8647749707822373
1223,because they can't get along together and their would always be fights and disorder,separate,Could never get along together. There would be too many fights.,separate,0.8638324098589412
109,Could never get along together. There would be too many fights.,separate,because they can't get along together and their would always be fights and disorder,separate,0.8638324098589412
94,Because I think that they get along better in and outfit with their own kind,separate,They get along much better in an outfit of their own.,separate,0.8638281096459769
593,Negros & whites will never get along together.,separate,Whites & Negros will never mix very good.,separate,0.8637286459503047
906,Whites & Negros will never mix very good.,separate,Negros & whites will never get along together.,separate,0.8637286459503047
771,They will do better among their own kind.,separate,They will work better among their own race,separate,0.8630277141926884
270,There will be less confusion.,separate,because of less trouble,separate,0.8627975662479725
145,because of less trouble,separate,There will be less confusion.,separate,0.8627975662479725
916,Same as previous questions number 62,separate,The same as question 62,separate,0.8626635220353793
1045,The reason is some white people do not get along with negro's or vica versa,separate,As some White Soldiers don't like Negroes around them. ,separate,0.861733682054612
594,They may work better when together and in separate units.,separate,They work better in separate groups.,separate,0.8615512319207143
190,They work better in separate groups.,separate,They may work better when together and in separate units.,separate,0.8615512319207143
885,White men and negroes cant get along with out trouble,separate,A white man & Negro just don't get along.,separate,0.8614805873595133
396,I think they should be kept in separate outfits.,separate,They should be in separate outfits.,separate,0.8614534769041942
261,Because some of the negro People are very Dirty and [unclear][/unclear],separate,Well negros are sometimes dirty in body & mind & there seems to be more [unclear] decrids [/unclear] among them,separate,0.8608722274766719
944,Well negros are sometimes dirty in body & mind & there seems to be more [unclear] decrids [/unclear] among them,separate,Because some of the negro People are very Dirty and [unclear][/unclear],separate,0.8608722274766719
463,Because the are colored men and many Whites don't like them,separate,Because most white people don't like the colored race,separate,0.8606753717826939
1164,#60's answer.,separate,Same as answer to #60,separate,0.8606171036463038
1076,I sure don't want to sleep next to a negro and I don't think anyone else does.,separate,Because I would not like to sleep by a Negro.,separate,0.8603742719492933
841,In my own mind the two just wouldn't work out together.,separate,It just wouldn't work out.,separate,0.8598837532872271
895,Understanding one another they would make a better team.,separate,They would work together better.,separate,0.8594710346898428
913,I think they could get along better,separate,I think they would feel better being together.,separate,0.8591993600727077
388,"I dont think white Soldiers Should be to gether with negros, as they dont get along.",separate,White Soldiers from the South wouldn't get along with Negro's,separate,0.8587328847361334
189,I do not like to mingle with negroes,separate,I just wouldn't like to be together with a negro.,separate,0.8586155193570421
862,They work better together by themselves as a team and so do we.,separate,because they get along better by themselves,separate,0.8586134839277869
674,[unclear][/unclear],separate,the have different [unclear][/unclear] [unclear][/unclear],separate,0.8583899744869464
995,the have different [unclear][/unclear] [unclear][/unclear],separate,[unclear][/unclear],separate,0.8583899744869464
262,Because thy get along better with there kind,separate,They get along better among themselfs,separate,0.8582630682600615
256,They get along better among themselfs,separate,Because thy get along better with there kind,separate,0.8582630682600615
403,They could not get along with the men here at all.,separate,Because they can't get along with each other,separate,0.857815945827272
127,Cause too much trouble if they were together,separate,There would be too much strife and trouble.,separate,0.8564861647640215
946,There would always be friction between the two & they wouldn't work as a unit.,separate,because they can't get along together and their would always be fights and disorder,separate,0.8564611744796197
335,They get along a lot better with their own people,separate,They get along better with their own race,separate,0.8557509554783133
1195,There would be trouble if they were together.,separate,Cause too much trouble if they were together,separate,0.8556746279141101
1186,The southerners do not feel the same toward the negro as the northerners do.,separate,Southern people don't like to associate with negroes.,separate,0.8552569805860694
517,For the negro soldier + white soldier just can't get along together.,separate,A white man & Negro just don't get along.,separate,0.8548406103233916
976,The same for 63 as for 60,separate,Same as 60 or 62,separate,0.8540118520045828
1061,Negro are human beings but I don't like to be with them. ,separate,I just wouldn't like to be together with a negro.,separate,0.8531709043220376
429,because I think they work much better seperated. ,separate,so they can work better if them seperated,separate,0.852876565151512
470,so they can work better if them seperated,separate,because I think they work much better seperated. ,separate,0.852876565151512
1081,no Idea.,separate,I don't know,separate,0.8522050137882369
151,I don't know,separate,no Idea.,separate,0.8522050137882369
465,I don't trust them,separate,I don't like them.,separate,0.8512590149336917
287,I don't like them.,separate,I don't trust them,separate,0.8512590149336917
859,They would never agree,separate,They will never get along,separate,0.851179387842389
994,Because there will be less arguments among them.,separate,There will be less confusion.,separate,0.8509189731950129
803,Because they will make a better unit by themselves when they are in their own out fit.,separate,I think they would make better soldiers being by themselves,separate,0.8505796505284106
330,I think they would make better soldiers being by themselves,separate,Because they will make a better unit by themselves when they are in their own out fit.,separate,0.8505796505284106
449,They fight better when among their own race.,separate,Men fight better with their own race.,separate,0.8502207523453533
1259,Men fight better with their own race.,separate,They fight better when among their own race.,separate,0.8502207523453533
703,Because white and negro soldiers don't mix very good.,separate,because white an negro soldiers would not get along.,separate,0.8498966731799518
476,Any Southern soldier would not get along with the Negro very well.,separate,There are a lot of soldiers tha would not be able to get along with the negroes.,separate,0.8496463442650751
1207,There are a lot of soldiers tha would not be able to get along with the negroes.,separate,Any Southern soldier would not get along with the Negro very well.,separate,0.8496463442650751
1090,I would not care to bunk with a negro.,separate,Because I would not like to sleep by a Negro.,separate,0.8489015072246762
367,They seem to team up better separate,separate,they work better separate,separate,0.8483078672180585
124,they work better separate,separate,They seem to team up better separate,separate,0.8483078672180585
247,the whites and negros will never mix to the extent of living together,separate,negros and whites will never mix,separate,0.8474498213541979
614,negros and whites will never mix,separate,the whites and negros will never mix to the extent of living together,separate,0.8474498213541979
407,I think a lot of trouble would start if they were together.,separate,I think there would be trouble always between them,separate,0.8473382169641592
203,"A White man will not obey a negro, or vice- versa",separate,white people & negroes would not get along,separate,0.8466813552480529
490,There would be too much friction if they were kept together,separate,Cause too much trouble if they were together,separate,0.8460501494038417
1068,Hell - I don't want to sleep & eat with a negroe,separate,I wouldn't want to live and eat with a negro.,separate,0.8458251176380459
1214,I wouldn't want to live and eat with a negro.,separate,Hell - I don't want to sleep & eat with a negroe,separate,0.8458251176380459
1087,Better harmony is the result of this set-up.,separate,There would be better harmony as there is now.,separate,0.8454296553537243
686,There would be better harmony as there is now.,separate,Better harmony is the result of this set-up.,separate,0.8454296553537243
250,They work better alone in one group.,separate,They work better in their own group. ,separate,0.8446664717880906
178,Have none,separate,No comments,separate,0.8446398947926558
728,many people detest the negro therefore if together would be trouble all the time.,separate,There are too many men who dislike the negros to have unity,separate,0.8440464726270062
547,There are too many men who dislike the negros to have unity,separate,many people detest the negro therefore if together would be trouble all the time.,separate,0.8440464726270062
278,I would never want to sleep next to one,separate,I wouldn't want to Sleep with them.,separate,0.8433573611601944
253,Should not be mixed in with white soldiers at all,separate,They should not be with white soldiers.,separate,0.8431510963100496
872,They should not be with white soldiers.,separate,Should not be mixed in with white soldiers at all,separate,0.8431510963100496
492,They can function better among their kind.,separate,Because I think that they get along better in and outfit with their own kind,separate,0.8426289763758077
1027,White people don't belong with negroes.,separate,Because white people can't work with Negro's,separate,0.8421903835531109
720,The white and negro will never get along as complete equals,separate,Negros & whites will never get along together.,separate,0.8421159018276204
202,it doesn't look good for a negro and a white man to be together,separate,Because if Negroes are put in with whites they won't work together.,separate,0.8415724908916814
590,Because Black & White Dont mix.,separate,Because white & Negro don't mix,separate,0.841066840462049
471,because they shouldn't be mixed,separate,They shouldn't mix,separate,0.8409867108704125
997,Unaccustomed to living with negros. I would not want to.,separate,I wouldn't want to be in with any negroes.,separate,0.8403989744358272
14,I believe if they were trained with white soldiers they would [be] better soldiers.,same,They would feel better if they were with their own kind and so would the white soldier.,separate,0.8397854991946163
853,Same as q. 62. (comments),separate,Same comment as in #62,separate,0.8396605734004187
782,Same comment as in #62,separate,Same as q. 62. (comments),separate,0.8396605734004187
588,Separate outfits get along better and less trouble,separate,They can get along better in their own outfits.,separate,0.8387711716461526
822,See the answers to questions 60 and 62.,separate,Same answers as 60 & 62,separate,0.8381929691694051
225,There would be to many fight with the negro and the white,separate,It would cause a lot of fights if the whites & negros were together,separate,0.8376882457448184
1242,It would cause a lot of fights if the whites & negros were together,separate,There would be to many fight with the negro and the white,separate,0.8376882457448184
601,They get along better when they have to work in a team,separate,They work better together,separate,0.8375822598772482
708,They will work together better if each race is in a separate outfit.,separate,They will work together a lot better in separate outfits,separate,0.8369641900644722
355,For the same reason as question #63,separate,For same reason as given in question 62.,separate,0.8367388030781711
675,The negroes & whites are not sufficiently adjusted to one another to enable them to co.operate. ,separate,Some negros & whites can't get along very well.,separate,0.8356606404957605
243,Prejudice,separate,To much prejudice,separate,0.8352193512080407
850,To much prejudice,separate,Prejudice,separate,0.8352193512080407
609,If they were together it would constantly cause friction.,separate,There would be too much friction,separate,0.8345629195589165
956,Think they would work better together than in mixed outfits.,separate,I think individual groups would work as one unit better rather than mixed.,separate,0.8339029215911823
421,I think individual groups would work as one unit better rather than mixed.,separate,Think they would work better together than in mixed outfits.,separate,0.8339029215911823
101,The negro will get along better if he is in together,separate,"They will work better together with the ones they like, naturally their fellow negroes",separate,0.8338577930815154
878,"They will work better together with the ones they like, naturally their fellow negroes",separate,The negro will get along better if he is in together,separate,0.8338577930815154
795,I think they are better satisfied and stand a better chance for promotion,separate,"Because they feel themselves better, or higher intelligent",separate,0.8318781740661556
941,"Because they feel themselves better, or higher intelligent",separate,I think they are better satisfied and stand a better chance for promotion,separate,0.8318781740661556
902,Because don't many white boys want to be around negros.,separate,Because the negro is not fit to be with white boys.,separate,0.8316412233600309
295,I think the negro is happier when left alone,separate,A negro is a lot happier when with one of his own color.,separate,0.8313931514180166
