,subject_id,image_name,image_name_2,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T15,T31,T32
12,15863149,2521127-16-0016.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a little worse'],,,,The Private should get more than $50 a month because they need as much money as a corporal. and a man shouldn't be changed from his buddies after he's been with them 8 or 9 months in the army without a good reason.,,,,,,,,
13,15863151,2521127-16-0017.jpg,2521127-16-0018.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,"life for me and my wife very hard. And I know it is going to be very hard for us to get on our feet again after the war. I don't feel that I should have been drafted when I was, as a married man with a child, especially when I know for a fact that there were still many single fellows and childless married men left in our little city.","life for me and my wife very hard and [(unknown)] is going to be very hard for us to get on our feet again after the war. I don't feel that I should have been drafted when I was, as a married man with a child, especially when I know for a fact that the whole state money [(unknown)] follows and child has married med left in our little city. ","I think that this outfit that we are in don't get enough training of the kind they should. As a truck outfit, we should know trucks, especially the Jeep we will have in combat, inside out. What very little time we do get with the trucks is very insufficient and we always get a different one. A truck is like a brother you have to know it well and let it know you. I feel that any being in the service is making",,,,,,,,
14,15863156,2521127-16-0019.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,"We are a Quartermaster Regiment but sometimes we don't drive a truck for two weeks at a time, although most of us drove in civilian life, the army trucks are quite different and it takes practice on any job to do it well. We need more trucking and less drilling.",,"We are a Quartermaster Regiment but sometimes we don't drive a truck for two weeks at a time, although most of us drove in civilian life, the army trucks are quite different and it takes practice on any job to do it well. We need more training and less drilling. ",,,,,,,,
15,15863158,2521127-16-0020.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,,,Officers should have a full basic training before going to O.C.S. A truck outfit should have truck drivers as personell also enough manachks to teach others how to repairs trucks & drive them. A truck outfit should have gas to run the trucks with. How far does 8 truck go with 120 men.,,,,,,,,
16,15863160,2521127-16-0021.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,The outfit is not trained for combat driving. Ours has been more for infantry. There is too much class distinctions between West and South against the North East States. In getting ratings its not what you know but who you know. Medical care is not what it should be. Where are all the Christians doctors? Religious services are not always allowed to be attended.,,,,,,,,,,
17,15863162,2521127-16-0022.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot better'],,"I think our regiment is best suited for the [unclear]Alcan[/unclear] Highway that is the best training we have had. When this regiment was first activated it was scheduled to go there and we had some good training but since then, it has just been infantry training which I can't see for a truck regiment. i enlisted in the Air Corps as a mechanic but since I have been in the Army I haven't touched a wrench. I don't think it is fair the way some of the men ",,I think our Regiment is best suited for the Alcan Highway that is the best training we have had. When this Regiment was first activated it was scheduled to go there and one had some good training but since then it has just been Infantry training which I can't see for for a truck Regiment. I enlisted in the Air Corps as a mechanic but since I have been in the Army I haven't touched a wrench. I don't think it is fair the way some of the men ,,,,,,,,
18,15863165,2521127-16-0023.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"including myself get the bad breaks just because I said I had driven trucks in civilian life they put me in a truck regiment the reason that I enlisted and several men in this regiment was to get in the Air Cops Ground Crew but when we said we had been truck drivers this is where we were sent, The government asked for men to be mechanics in the Air Corps but put them where they want then I don't think it is giving the men a fair shake. I know I wouldn't enlist again and the rest of the men in this regiment feel the same. I don't think that is a very good attitude for the men to take towards the government but there is no other way to look at it if the government is going to do such under handed tricks as soon as you sign your name and take the oath they do as they please with you.",including myself get the bad breaks just because _ I had driven a truck in civilian life they put me in a truck regiment . The reason that I enlisted and several men in this regiment was to get in the air corps ground crew but when we said we had been truck drivers this is where we were sent. The government asks for men to be mechanics in the air corps but puts them where they want them. I don't think it is giving the men a fair shake. I know I wouldn't enlist again and the rest of the men in this regiment feel the same. I don't think that is a very good attitude for the men to take towards the government but there is no other way to look at it if the government is going to do such under handed tricks as soon as you sign your name and take an oath they do as they please with you.,,,,,,,,,
19,15863168,2521127-16-0024.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a little worse'],,We have much more close order drill than convoy driving that we are suppose to do as our job and I think we could use more driving so that the job we have to do will be done better than we could do at present,,We have much more close order drill than convoy driving that we are supposed to do as our job and I think we could use more driving so that the jet we have to do could be done better than we could do at present ,,,,,,,,
20,15863171,2521127-16-0025.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,"I think the Army should give the officers more training and more [unclear]rigorous[/unclear]. Also take them from ranks of enlisted men who have had one year or more of service. Officers are incompetent, not as a whole but a large part. More opportunities for transfer into an outfit that you personally prefer, or give an exam to determine if a man is capable in that branch of the service.",,"I think the Army should give the Officers more training, and more [unclear], also take them from the ranks of enlisted men, who have had one year of service. Officers are incompetent , not as a whole just a large part. More opportunities for transfer into an Outfit you personally prefer,or just give an exam to determine if a man is capable in that branch of the service.",,,,,,,,
21,15863174,2521127-16-0026.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,,,"When I was inducted my Mother and Father were depending on me for support with my allotment it is not enough for them to get along on, with food prices up and taxes so high.",,,,,,,,
22,15863176,2521127-16-0027.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,,,Officers & non-coms (non-commissioned officers) are very poorly chosen - too little consideration given their mental equipment & descending [condescending] of character & feelings.,,,,,,,,
23,15863179,2521127-16-0028.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],[unclear][/unclear],['Things are a little worse'],[unclear][/unclear],"As a Q,M. Regt. (Quartermaster Regiment) we don't get all the truck driving we need. We get to (too) much close order drill which I see no sense to, we all know how to [unclear][/unclear] & even march. 3/4 of my company had their furlough, I'm in the 3/4 that didn't , that's because not doing more at a time never let out, some furlough are canceled, I guess its just T.S. (tough shit) for me, after I was looking",,"As a QM Sgt, we don't get all the truck driving we need, & we get to much close order drill which I see no sense to, we all know how to walk, yes, even march. 3/4 of my company had their furloughs, I'm in the 1/4 that didn't, that's because not enuf men at a time were let out, now furlough are canceled & I guess it's just T.S. for me, after I was looking...",,,,,,,,
24,15863182,2521127-16-0029.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"forward 2 month for my furlough, and just 2 weeks before I was to get my furlough, they were cut out, that's not the first time it happened either. I'm still looking forward to a furlough (I hope). [paragraph] I hope this Q.M. outfit gets more driving than walking , we call ourselves the walking Quarter masters.",[unclear][/unclear],,,,,,,,,
25,15863186,2521127-16-0030.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a little worse'],,,,"In my personal opinion, I don't think the Army knows what they want to do with all the men they are drafting. In my case, our regiment has been leaving the states for duty since last January. We are still here. If we're not going to work or fight, let's go home and save money for the government. We are only wasting it here. That's all!",,,,,,,,
26,15863188,2521127-16-0031.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,"['Things are a little better, but not much']",,"I do honestly think that the men could be segregated according to personality, intelligence & character, etc. to a better degree than at present, to allow those men who have the ability to learn faster to receive better & more technical training. It builds morale as well as giving the individual a feeling of self-confidence and an outlook of doing all that is",,"I do honestly think that the men could be segregated according to personality, intelligence and character etc. to a better degree than at present, to allow those men who have the ability to learn faster to receive better & more technical training. It builds morale as well as giving the individual a feeling of self confidence and an outlook of doing all that is",,,,,,,,
27,15863191,2521127-16-0032.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"possible for the war effort. There is alas a lot of foolish red tape to the present administration ([unclear]on[/unclear] the Army) that could be done away with. If we want to win this war we must do whatever we [unclear]undeniably[/unclear] just, with no faltering due to present complications​ which invariably​ confront the every move. ","possible for the war effort. There is also a lot of foolish red tape to the present administration ([unclear][/unclear] the army) that could be done away with. If we want to win this war we must do whatever we undertake first, with no faltering due to present complications which invariably confront the every move.",,,,,,,,,
28,15863194,2521127-16-0033.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,I could do better out of the Army than in because of raising food for the Army and in the way of food staples to keep the country (supplied )with a little more things. This way (now) the folks are selling out (of) what I used to do at home.,,I could do better out of the army than in because of raising food for the army and in the way of food staples to keep the country with a little more things. This way the folks are selling out what I need to do at home.,,,,,,,,
29,15863198,2521127-16-0034.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a little worse'],,,,"There is too much flexibility in the rules and regulations, no two officers see the rules the same way and therefore one outfit will benefit with little privileges and the other outfit will be denied the same ones, this causes a drop in morale of some soldiers when they are stationed in the same post. A little more care should be taken in the selection of men for the kitchen some are competent but do not know how to handle men, others know how to handle men but do not know how to cook or do ",,,,,,,,
30,15863202,2521127-16-0035.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,care how they cook as they can eat whatever they want and you eat what they did not feel like making or did not care to make.,,,,,,,,,,
31,15863205,2521127-16-0036.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a lot better'],,,,Have applied for O.C.S. several months ago with a group of other men and none of us have heard anything yet. We passed both mental and physical and all of the men would make good officers. I don't believe the Regiment cares whether we leave or not. They should try to help us to go.,,,,,,,,
32,15863208,2521127-16-0037.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a lot better'],,,,As a whole I think that officers should be returned from overseas and train men on this side.,,,,,,,,
33,15863211,2521127-16-0038.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,"['Things are a little better, but not much']",,,,"I would like the Quartermaster [unclear]goys[/unclear] better than any other unit, if it were operated right. Our truck training is very little, not enough driving, schooling, etc; and to much laying around, or drilling.",,,,,,,,
34,15863216,2521127-16-0039.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of furloughs but not passes'],,['Things are a little worse'],,I want to say I am proud to be in the army and doing my part. If only I was in a job where I would take more interest in my work. I wanted to get in the airforce ground crew but instead they put me in Q.M. Corps as a Truck Driver. Yes I have driven trucks for 3 years but after all I don't want to be a truck driver.,,I want to say if am moved to be in the army and doing my part all only I was in a job where I would take more interest in any work. I wanted to get in the airforce ground crew but instead they put me in Q. M. Corps as a Truck Driver. Yes I have driven trucks for 3 years but after all I dont want to be truck driver.,,,,,,,,
35,15863217,2521127-16-0040.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"all my life. I think a little bit more should be done to help a man to get placed in a job he would like. That is the chief morale builder. If you like your work you like the army, you don't mind fighting. But otherwise a man gets disgusted. Its just like being in prison. (paragraph) II. I think the food could be better. I've seen some slop I would like to make those bigshots in Washington eat. No fit for pigs. [deletion][/deletion] If I was on the other side I would understand but I am still in the States, the land of plentiful. Imagine 12 men getting only 2 qts (quarts) of milk at breakfast. It's bad enough the meat is bad but that can be understood. But is there a shortage of cows. I could write a book on gripes I have. I am not saying the whole army is this way. Maybe I have just fallen into the wrong outfit. Someday I hope to write a book then I can satisfy myself even if anyone else,",[unclear][/unclear],,,,,,,,,
36,15863220,2521127-16-0041.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot better'],,"I should think every soldier should have a furlough before entering into combat, I have [unclear]five?[/unclear] children [.] I have only seen [unclear][/unclear] my eight months about 30 hours. ",,I should think every soldier should have a furlough before entering into combat. I have two children I have only seen in my eight months about 30 hours.,,,,,,,,
37,15863222,2521127-16-0042.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a little worse'],,Let's get the war over as quick as possible so we can go home.,,Lets get the war over [unclear][/unclear] quick [unclear][/unclear] [unclear][/unclear] so we can go home,,,,,,,,
38,15863225,2521127-16-0043.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['No, I have not had my fair share of either furloughs or passes']",,['Things are a little worse'],,,,Too much close order drilling. Not enough convoy driving.,,,,,,,,
39,15863227,2521127-16-0044.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a lot worse'],,Mother now has to depend on my sister and sister's husband and that is cause for a great deal of unpleasantness in the home. It takes as much for a mother and brother to live on as a wife and son but still the army does not seem to think so. (paragraph) The army does not try to place skilled men where they would do the most good.,,Mother now has to depend on my sister and sister's husband and that is cause for a great deal of unpleasantness in the home. It takes as much for a mother and brother to live on as a wife and son but still the army does not seem to think so. The army does not try to place skilled men where they would do the most good.,,,,,,,,
40,15863230,2521127-16-0045.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of furloughs but not passes'],,['Things are a lot better'],,,,Why don't they let a person get a transfer when he wants to go overseas. I have tried and was refused. They should give more 3 day passes. They should watch the way the mess hall is run.,,,,,,,,
41,15863233,2521127-16-0046.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['No, I have not had my fair share of either furloughs or passes']"," The neat of my company all but 23 of us made a $10 day paycheck and I don’t think it is fair that they should not give the rest of us a 10 day freeleave of absence , we are doubting the whole damn thing they are fuckers and are more entitled to a free leave. The officers could treat us a bit better and the food could be better[unclear][/unclear]",['Things are a lot worse'],[unclear][/unclear],The rest of my company all but 23 of us had a 10 day furlough and I don't think it is fair that they should not give the rest of us a 10 day furlough because we are doing the very same thing they are and further more we are entitled to a furlough. The officers could treat us a lot better and the food could be better.,,The rest of my company all but 23 of us had a 10 day furlough and i don't think it is fair that they should not give the rest of us a 10 day furlough because we are doing the very same thing they are and further more we are entitled to a furlough. The officers could treat us a bit better and the food could be better.,,,,,,,,
42,15863235,2521127-16-0047.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a lot worse'],,"I can't understand why there is so much talk of not drafting fathers. I had one child and was expecting another when drafted. My wife is unable to pay rent, lights, gas, groceries, and doctor bills out of $72.00 a month. Also, as I understand it, the oil industry is considered an essential industry, yet, there is hardly any experienced men left in the oil",,"I can't understand why there is so much talk of not drafting fathers. I had one child and was expecting another when drafted. My wife is unable to pay rent, lights, gas, groceries, and doctors bills out of $72.00 a month. Also, as I understand it the oil industry is considered an essential industry, yet, there is hardly any experienced men let in the oil ",,,,,,,,
43,15863237,2521127-16-0048.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"fields. [paragraph] The general consensus of opinion is that the draft board should be investigated. I, for one, did not come into the Army because I wanted to, and neither am I staying in because I want to. [paragraph] I want almost to take a dishonourable discharge to get out of the Army. My heart is not in it, I am more concerned with the conditions of my family than this we are going through now.",,,,,,,,,,
44,15863242,2521127-16-0049.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,Well the remarks I have to say is that I voluntered (volunteered) for the Navy and I got stuck into the Army because the quota was full. I feel that I would be better in the Navy than the Army any time because thats (that's) the kind of life Id I'd love to have. I wish I could get transferred into the Navy or the Army Air Corps ground crew if there is a way I'd like to have it in quote,,Well the remarks I have to say is that I volunteered for the Navy and I got stuck in the Army because the quota was full. I feel that I would be better in the Navy than the Army anytime because that's the kind of life I'd love to have. I wish I could get transferred into the Navy or the Army Air Corps ground crew if there is a way I'd like to have it [unclear]enquote[/unclear],,,,,,,,
45,15863245,2521127-16-0050.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,The Army could be better if they give us the right training and the right food (the food is the same all the time) They shouldn't be selling Bonds to the men in uniform but they make you take a bond they talk you into it to buy bonds.,,"The army could be better if they give us the right training and the right food (the food is the same all the time). [paragraph] They shouldn't be selling bonds to the men in uniform but they make you take a bond they talk you into it to buy bonds,.",,,,,,,,
46,15863248,2521127-16-0051.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,Well the branch I got now is known of doing everything and the thing we do we shouldn't be doing it.,,,,,,,,,,
47,15863251,2521127-16-0052.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",6,['Things are a lot better'],1,,,"There is really only one thing in my outfit that gets me down some times, is when they tell you something they are going to do and don't carry through with it. As far as promotions go I think that most of them are favorites instead of what a man knows.",,,,,,,,
48,15863253,2521127-16-0053.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,"[""I don't see any difference""]",,,,"[unclear]Yes, I have one thing about the officer we have. That they never tell a [unclear][/unclear] what holes slow [unclear][/unclear] [unclear][/unclear][unclear][/unclear][unclear][/unclear][unclear][/unclear]never found and why how do that [unclear][/unclear] [unclear][/unclear][unclear][/unclear][/unclear][unclear][/unclear][unclear][/unclear][unclear][/unclear][unclear][/unclear][unclear][/unclear][unclear][/unclear]",,,,,,,,
49,15863255,2521127-16-0054.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,Always come first and never mind the man in back of him that is the same for ratings,,,,,,,,,,
50,15863258,2521127-16-0055.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],8,"[""I don't see any difference""]",3,,,When a fellow gets [unclear]Giced[/unclear] they should not take his pass away from him but but let him straiten out the think he got [unclear]Geds[/unclear] for and then give him his Pass. and let him be on his way.,,,,,,,,
51,15863261,2521127-16-0056.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,"['Things are a little better, but not much']",,I think that the Chinese should be given more guns and supplies. I think India should be given her independence. China would be a logical place to open a front to keep the Japs closer to home and the Chinese given a little more say or regards to the war in the east.,,I think that the Chinese should be given more guns and supplies. I think India should be given her independence. China would be a logical place to open a front to keep the Japs closer to home and the Chinese given a little more say as regards to the war in the east.,,,,,,,,
52,15863272,2521127-16-0057.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a little worse'],,As long as an EM within reasonable distance from their home he should be allowed to go home as often as possible because eventually he will be transferred to a place when it will be impossivle to go home for a long period.,,As long as an EM at camp is withing reasonable distance from his home he should be allowed to go home as often as possible because eventually he will be transferred to a place when it will be impossible to go home for a long period.,,,,,,,,
53,15863274,2521127-16-0058.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['No, I have not had my fair share of either furloughs or passes']",,['Things are a lot worse'],,"Well about the co. (company I am in. The officer do not treat the men right and for the lease little thing they do, the (they) confined (confine) them for about 2 (two) or three week (weeks) and take all their cloths away. (paragraph) In our outfit if you don't fit with the sargent (sergeant) you get all the shit detail so I don't blame the fellows for going a.w.o.l (absent without leave) if they keep getting picked on",,Well about the Co.[Company] I am in the officer do not tread the men right and for the least little thing they do the confined them for about 2 or three week and take all their cloths away. [paragraph] In our outfit if you don't fit with the sargent you get all the shit detail so I don't blane the fellows for going a.w.o.l.[absent with out leave] if they keep geting picked on,,,,,,,,
54,15863283,2521127-16-0059.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,One of my main complaints about the army has been the inefficiency of the non-[unclear][/unclear] during my basic training. [deletion][/deletion]. Take some of their field manuals away they would be lost.,,One of my main complaints about the Army has been the inefficiency af the non-coms[non commissioned officers] during my basic training. [deletion][/deletion] Take some af their Field Manuals away and they would be lost.,,,,,,,,
55,15863285,2521127-16-0060.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],Why don't the Army get rid of some of these imitations of officers and get some real men to fill their shoes. Why these officers that are sent out as cadre officers don't know as much about the army and its duties than some of the lowest cadre Nm Comd at least make soldiers out of them before making them officers. Give them longer time at school but for gosh sakes,,,Why don't the army get rid of some of these imitations of officers and get some real men to fill their shoes. Why these officers that are sent out as Cadre Officers don't know as much about the army and its duties than some of the lowest cadre non-coms. At least make soldiers out of them before making them officers. Give them longer time at school but for gosh sakes,,,,,,,,
56,15863288,2521127-16-0061.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"don't disgrace the army by sending them out to train men. Why is it at some camps the food as a whole is of better quality and also in greater abundance then others? If the Army wants specialized men so bad why don't they place the skilled men that are drafted or volunteered in these respective jobs? I volunteered on that basis knowing that I would be culled in due time, only to be put in an entirely different type of outfit. Why don't they make use of those classification centers?",,,,,,,,,,
57,15863290,2521127-16-0062.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,I think the jobs that we were given in the army in some cases could have been a lot better if we were put in something which we are skilled at. Also I don't see why a whole platoon of men should be confined because one man went A.W.O.L.,,I think the jobs that we were given in the Army in some cases could have been a lot better if we were put in something which we are skilled at. also I don't see why a whole platoon of men should be confined because one man went A.W.O.L.,,,,,,,,
58,15863293,2521127-16-0063.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a lot worse'],,,,"Well I don't mind the Army life at all in that I have to work hard, but what gets me discouraged is some of the non coms or Officers who think they are just about perfect, after all it wasn't my idea to get into the Army, and I know I have plenty to learn. So if some of these boys would lay off pulling",,,,,,,,
59,15863297,2521127-16-0064.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"their rank I think I'd get along much better. It gets me some to be ordered around sometimes as though I was just a slave of some sort and to get barked at when I'm working as hard as I can. Another thing that gets me is when a non-com gets hell for something he takes it out on his men by either threatening them with loss of passes or other privilege. After all if he gets gigged on something he does wrong I don't see where he has the right to harp on his men. This only applies to certain non-coms in my outfit, especially as I know other fellows who are swell fellows. On the whole though I get along fairly well in the Army although I will say that I hope I don't have to stay in too long.",,,,,,,,,,
60,15863301,2521127-16-0065.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,['Things are a lot worse'],,,,"Sir, I have a mother and only one who she could depend on me. while I was home. I was staying with her, work and take care of her. and takes care all the bills and all the living conditions, now they drafted me in the Army. Sure that the local board was they didn't give me a fair deal...",,,,,,,,
