,index,transcriber_tag,expert_tag_1,score_1,expert_tag_2,score_2,expert_tag_3,score_3
1015,1015,draft,draft,1.0,conscription,0.7921758890151978,headquarters,0.7896896004676819
3054,3054,retraining,retraining,1.0,preparedness,0.7838737964630127,training,0.7769603729248047
230,230,armyliving,army living,1.0,army talks,0.8859735131263733,soldier deposits,0.8697155117988586
3730,3730,usintheworld,us in the world,1.0,postwar opportunities,0.7115179896354675,postwar world,0.7054582238197327
223,223,armyinsurance,army insurance,1.0,war bonds,0.8830177187919617,war industries,0.8600537180900574
714,714,combatstress,combat stress,1.0,fighting facts,0.8795612454414368,overseas combat,0.8613075017929077
1065,1065,education,education,1.0,media,0.7658159732818604,information,0.747871458530426
1094,1094,enemies,enemies,1.0,combat,0.854814350605011,duty,0.8462671041488647
2592,2592,patientcare,patient care,1.0,rec centers,0.8174905180931091,hospital facilities,0.7848203778266907
3792,3792,warbonds,war bonds,1.0,war industries,0.8701339960098267,conscription,0.8391044735908508
675,675,clothing,clothing,1.0,food,0.8914546370506287,supplies,0.8697195649147034
3058,3058,returnees,returnees,1.0,soldier deposits,0.8207125067710876,orientation,0.8127747774124146
2934,2934,ratings,ratings,1.0,shows,0.6513386368751526,promotions,0.6182015538215637
1318,1318,food,food,1.0,rations,0.8846290707588196,supplies,0.8841960430145264
841,841,currentevents,current events,1.0,discipline,0.7517719864845276,information,0.7181561589241028
2070,2070,media,media,1.0,media influence,0.8236555457115173,publications,0.8159059882164001
1815,1815,jobpreference,job preference,1.0,job satisfaction,0.9158298969268799,job turnover,0.8915089964866638
90,90,age,age,1.0,racial,0.7813073396682739,mission,0.7624943256378174
1817,1817,jobsatisfaction,job satisfaction,1.0,job turnover,0.8579403758049011,morale,0.8132621645927429
2142,2142,minorities,minorities,1.0,segregation,0.7916070818901062,opinions,0.7711803317070007
1791,1791,japan,japan,1.0,japanese,0.8742998838424683,headquarters,0.7537779808044434
2965,2965,recreation,recreation,1.0,training,0.8656069040298462,housing,0.8401092290878296
2097,2097,mentalhealth,mental health,1.0,patient care,0.8021870851516724,physical fitness,0.7874462604522705
2971,2971,redeployment,redeployment,1.0,retraining,0.73496013879776,transfer account plan,0.6945768594741821
1914,1914,lengthofservice,length of service,1.0,service personnel,0.6289960741996765,political views,0.610748291015625
66,66,adjustment,adjustment,1.0,training,0.8879938125610352,rotation,0.8781253099441528
2074,2074,medicalcare,medical care,1.0,patient care,0.8945298790931702,medical dispensaries,0.8068971037864685
3446,3446,suppies,supplies,1.0,headquarters,0.8677926659584045,training,0.860273540019989
1915,1915,lengthofwar,length of war,1.0,prosecution of the war,0.7765398621559143,war week,0.7585353851318359
3448,3448,supplies,supplies,1.0,headquarters,0.8677926659584045,training,0.860273540019989
2049,2049,maritalstatus,marital status,1.0,political views,0.7603121995925903,sex contact,0.7426676750183105
1726,1726,information,information,1.0,ward information,0.8282085061073303,publications,0.7974722981452942
1977,1977,localcivilians,local civilians,1.0,military police,0.7828345894813538,enemy atrocities,0.7612619400024414
1952,1952,limitedassignments,limited assignments,1.0,job preference,0.8275506496429443,job turnover,0.799776554107666
1971,1971,livingconditions,living conditions,1.0,marital status,0.7838979959487915,radio listening habits,0.7788036465644836
2957,2957,reassignment,reassignment,1.0,redeployment,0.6436768770217896,retraining,0.6341410279273987
3842,3842,weapons,weapons,1.0,equipment,0.8107280135154724,infantry,0.8007022738456726
3918,3918,workingwithcivilians,working with civilians,1.0,treatment of pows,0.7929868698120117,pacific toughness,0.7779249548912048
2159,2159,mission,mission,1.0,orientation,0.871131420135498,training,0.8582669496536255
1807,1807,jobevaluation,job evaluation,1.0,job satisfaction,0.9001569747924805,morale program,0.8510109186172485
2620,2620,personalservices,personal services,0.9999999403953552,service personnel,0.7291553616523743,patient care,0.7081146836280823
1069,1069,efficiency,efficiency,0.9999999403953552,morale,0.8810410499572754,rotation,0.8541963696479797
3341,3341,specialservices,special services,0.9999999403953552,facilities,0.522384524345398,ground personnel,0.5164002180099487
645,645,civilians,civilians,0.9999999403953552,local civilians,0.8863152861595154,veterans,0.8129650950431824
1890,1890,leadership,leadership,0.9999999403953552,morale,0.8541743755340576,morale program,0.8325163125991821
3213,3213,sex,sex,0.9999999403953552,sex contact,0.7849648594856262,training,0.7758771181106567
3778,3778,wac,wac,0.9999999403953552,headquarters,0.748157262802124,uso clubs,0.7424231767654419
2127,2127,militarypolice,military police,0.9999999403953552,service personnel,0.8206831812858582,officer training,0.7918211817741394
360,360,bbc,bbc,0.9999999403953552,headquarters,0.7967783808708191,magazines,0.7865605354309082
892,892,dentalcare,dental care,0.9999999403953552,medical care,0.9132236242294312,patient care,0.8562427163124084
376,376,benefits,benefits,0.9999999403953552,savings,0.8449961543083191,program preferences,0.8271992802619934
1360,1360,france,france,0.9999999403953552,italy,0.8316759467124939,japan,0.7754850387573242
1718,1718,infantry,infantry,0.9999999403953552,military police,0.819367527961731,overseas combat,0.8122528791427612
1182,1182,facilities,facilities,0.9999999403953552,hospital facilities,0.8617268800735474,medical care,0.7403640151023865
3233,3233,shows,shows,0.9999999403953552,promotions,0.7270745635032654,men,0.6975840330123901
3901,3901,women,women,0.9999999403953552,officers,0.7130429744720459,veterans,0.6993168592453003
2251,2251,ncos,ncos,0.9999999403953552,war bonds,0.8153178095817566,noncoms,0.8019154071807861
344,344,barracks,barracks,0.9999999403953552,headquarters,0.8185923099517822,mess hall,0.8067967295646667
1792,1792,japanese,japanese,0.9999999403953552,italy,0.7324830889701843,germany,0.7193112969398499
1517,1517,groundpersonnel,ground personnel,0.9999999403953552,service personnel,0.819911777973175,military police,0.7537928223609924
2784,2784,prideinoutfit,pride in outfit,0.9999998807907104,job preference,0.7958946228027344,preparedness,0.7884506583213806
220,220,armyfilms,army films,0.9999998807907104,army living,0.8534814715385437,war news,0.8343827724456787
1633,1633,hospitalfacilities,hospital facilities,0.9999998807907104,medical care,0.8269234895706177,patient care,0.7848203778266907
3720,3720,us-clubs,us-clubs,0.9999998807907104,uso clubs,0.8135145306587219,v-e day,0.7143509387969971
2717,2717,postexchanges,post exchanges,0.9999998807907104,separation centers,0.8273128271102905,dischargees,0.7998756170272827
647,647,civilianskills,civilian skills,0.9999998807907104,combat stress,0.8630983233451843,officer training,0.8625013828277588
3366,3366,starsandstripes,stars and stripes,0.9999998807907104,service personnel,0.5775700211524963,war bonds,0.5568573474884033
525,525,businessownership,business ownership,0.9999998807907104,leadership,0.8332264423370361,media influence,0.8052953481674194
97,97,aggression,aggression,0.9999998807907104,training,0.8748456239700317,rotation,0.8615533709526062
2762,2762,preparedness,preparedness,0.9999998807907104,morale,0.8390989899635315,leadership,0.8187923431396484
2461,2461,officers,officers,0.9999998807907104,veterans,0.851963996887207,service personnel,0.8122478127479553
577,577,censorship,censorship,0.9999998807907104,conscription,0.8803019523620605,segregation,0.8778366446495056
3467,3467,swpacific,sw pacific,0.9999998807907104,pacific toughness,0.6949431300163269,postwar world,0.6739192605018616
973,973,dispensaries,dispensaries,0.9999998807907104,medical dispensaries,0.92559415102005,rec centers,0.6677664518356323
2727,2727,postwarexpectation,postwar expectations,0.984879195690155,postwar opportunities,0.9510193467140198,postwar world,0.8794888257980347
301,301,attitudetowardgermany,attitude towards germany,0.9819003939628601,attitude toward italy,0.9578179717063904,opinion of allies,0.84703129529953
3746,3746,venereal-diseases,venereal disease,0.9686006307601929,medical dispensaries,0.7138397693634033,patient care,0.6792303919792175
2716,2716,postexchange,post exchanges,0.9558810591697693,separation centers,0.8023465275764465,rec centers,0.7922139167785645
218,218,armyfamily,army living,0.9546927809715271,army talks,0.8980842232704163,soldier deposits,0.8705452680587769
224,224,armyjobs,army living,0.9529666900634766,army talks,0.8931602239608765,overseas combat,0.8736629486083984
2724,2724,postwarconcerns,postwar expectations,0.9520338773727417,postwar opportunities,0.9407958388328552,postwar world,0.8527225255966187
3803,3803,warindustry,war industries,0.9519196152687073,war bonds,0.841688334941864,overseas combat,0.8005273342132568
266,266,armywives,army living,0.9490907192230225,soldier deposits,0.889944851398468,war bonds,0.8718276023864746
265,265,armywife,army living,0.9482219815254211,soldier deposits,0.8763970732688904,conscription,0.843296468257904
227,227,armylifestyle,army living,0.9477097392082214,army talks,0.8898773193359375,soldier deposits,0.8897980451583862
1606,1606,homebound,homefront,0.9473974704742432,returnees,0.8677200675010681,soldier deposits,0.8411982655525208
2359,2359,noncomsclass,noncoms,0.9436836242675781,program preferences,0.8031448125839233,uso clubs,0.7519378662109375
2107,2107,messhalls,mess hall,0.9426755309104919,rec centers,0.8061540722846985,separation centers,0.7777690887451172
257,257,armyskills,civilian skills,0.9418720006942749,officer training,0.8688343167304993,morale program,0.8522034287452698
1804,1804,jobappointment,job turnover,0.9376410245895386,job satisfaction,0.8394035696983337,limited assignments,0.824463963508606
216,216,armyexchange,army talks,0.93717360496521,soldier deposits,0.8644037842750549,headquarters,0.8480318784713745
2738,2738,postwarschooling,postwar expectations,0.9371346831321716,postwar opportunities,0.9239305257797241,postwar world,0.8518732786178589
166,166,analysis,evaluation,0.9369571208953857,training,0.8886067867279053,rotation,0.866597592830658
1821,1821,jobskill,job satisfaction,0.9356831908226013,job turnover,0.9034707546234131,fighting facts,0.82501220703125
2811,2811,productivity,efficiency,0.9352951645851135,evaluation,0.8901362419128418,morale,0.8801634311676025
1822,1822,jobstability,job satisfaction,0.9351288080215454,job turnover,0.8664376139640808,preparedness,0.8507919907569885
67,67,adjustments,adjustment,0.9339537620544434,training,0.8705336451530457,savings,0.8520288467407227
2732,2732,postwarjobs,postwar opportunities,0.9337117671966553,war bonds,0.8432744741439819,separation centers,0.8342052698135376
3297,3297,soldierattitudes,soldier deposits,0.9335265755653381,enemies,0.8647371530532837,fighting facts,0.8604440093040466
2723,2723,postwarboom,postwar expectations,0.9334543347358704,postwar opportunities,0.9302626848220825,postwar world,0.892656683921814
1393,1393,furloughsneeded,furloughs,0.933049738407135,limited assignments,0.7856512069702148,radio listening habits,0.7368943691253662
228,228,armylives,army living,0.9322290420532227,soldier deposits,0.8695175051689148,homefront,0.8446415662765503
573,573,cavalry,infantry,0.9320452809333801,morale,0.8444391489028931,combat stress,0.8291676044464111
3057,3057,returnee,returnees,0.9317685961723328,program preferences,0.7948102951049805,soldier deposits,0.789124071598053
2959,2959,reccenter,rec centers,0.9301223754882812,separation centers,0.7498230934143066,recreation,0.7400665283203125
3584,3584,transition,rotation,0.9297977685928345,attitudes,0.8780398964881897,conversion,0.8703229427337646
1029,1029,drills,rotation,0.9286008477210999,training,0.9107977747917175,ups,0.8908553123474121
2507,2507,opinion,opinions,0.9282171726226807,orientation,0.8665546774864197,racial,0.859894871711731
3308,3308,soldierresponses,soldier deposits,0.9273048043251038,combat stress,0.8732073307037354,fighting facts,0.8664636611938477
1809,1809,jobhunt,job turnover,0.9246151447296143,soldier deposits,0.8763677477836609,yank,0.8305568099021912
2551,2551,overseasbattle,overseas combat,0.9245689511299133,combat stress,0.8549165725708008,soldier deposits,0.8525528311729431
2730,2730,postwarexperience,postwar expectations,0.9244950413703918,postwar opportunities,0.9221826791763306,postwar world,0.896918535232544
1271,1271,film,films,0.9244853854179382,entertainment,0.7631365060806274,media,0.7570177912712097
939,939,disagreement,rotation,0.9242790341377258,racial,0.8877424597740173,training,0.8875094652175903
2760,2760,preparation,training,0.9240910410881042,orientation,0.8735531568527222,conversion,0.8640767931938171
3296,3296,soldierattitude,soldier deposits,0.9228051900863647,civilian skills,0.8353161215782166,combat stress,0.8226048946380615
2763,2763,preparing,training,0.9222772121429443,orientation,0.8694013953208923,duty,0.8594024181365967
2062,2062,meat,food,0.9222553968429565,rations,0.8633342981338501,supplies,0.8513701558113098
2219,2219,movies,films,0.9218550324440002,magazines,0.8127701282501221,publications,0.7763687968254089
985,985,distraction,aggression,0.9218423962593079,rotation,0.8767304420471191,training,0.8740008473396301
65,65,adjust,adjustment,0.9216640591621399,rotation,0.8945621848106384,training,0.8857468962669373
2655,2655,planning,training,0.921393632888794,orientation,0.8926758766174316,rotation,0.8808768391609192
3298,3298,soldiercomplaints,soldier deposits,0.9213860630989075,army talks,0.8625946044921875,job turnover,0.8536005020141602
1301,1301,flexibility,efficiency,0.9208189249038696,orientation,0.8942114114761353,rotation,0.8930191397666931
3031,3031,resenntment,aggression,0.9200412631034851,enemies,0.86676424741745,training,0.8591263890266418
3033,3033,resentment,aggression,0.9200412631034851,enemies,0.86676424741745,training,0.8591263890266418
3307,3307,soldierproblems,soldier deposits,0.9199177026748657,homefront,0.8615372776985168,civilian skills,0.8515357375144958
203,203,army_life,army living,0.9197682738304138,civilian skills,0.8524793982505798,overseas combat,0.8487532734870911
225,225,armylife,army living,0.9197682738304138,civilian skills,0.8524793982505798,overseas combat,0.8487532734870911
3886,3886,wine,food,0.9196332097053528,supplies,0.8564890027046204,training,0.8451948165893555
1824,1824,jobtraining,job evaluation,0.9194661974906921,officer training,0.9029353260993958,morale program,0.8454627990722656
643,643,civilianpractices,civilian skills,0.9186511039733887,censorship,0.8634687066078186,war bonds,0.8492017388343811
247,247,armyposting,army living,0.9185174703598022,army talks,0.8585531115531921,overseas combat,0.8540679216384888
248,248,armypride,army talks,0.9178263545036316,soldier deposits,0.8808733224868774,overseas combat,0.8550954461097717
2085,2085,medicaltreatment,medical care,0.9177861213684082,patient care,0.84088534116745,living conditions,0.7723427414894104
251,251,armyprocedure,army living,0.9173933863639832,army talks,0.8886695504188538,overseas combat,0.8546568751335144
369,369,beliefs,opinions,0.9171580076217651,training,0.8696311116218567,orientation,0.8655663728713989
3042,3042,responsibility,duty,0.9170610904693604,efficiency,0.8726698756217957,opinions,0.8703213334083557
2737,2737,postwarquestions,postwar expectations,0.9169784784317017,postwar opportunities,0.9146051406860352,postwar world,0.8315910696983337
2553,2553,overseasduty,overseas combat,0.9169684052467346,service personnel,0.8037503361701965,civilian skills,0.7652011513710022
1819,1819,jobsearching,job turnover,0.9167347550392151,job preference,0.8748079538345337,job satisfaction,0.8558376431465149
173,173,annoyance,aggression,0.9167115688323975,racial,0.874783456325531,rotation,0.8703211545944214
2755,2755,prediction,rotation,0.9164093732833862,induction,0.8732190728187561,training,0.869535505771637
3186,3186,separation,rotation,0.9156522750854492,orientation,0.8843100070953369,racial,0.8669647574424744
254,254,armyretirement,army living,0.915316641330719,army talks,0.8885704874992371,overseas combat,0.8403619527816772
3414,3414,strikes,rotation,0.9150779843330383,ups,0.896013617515564,training,0.8650035262107849
213,213,armydecisions,army talks,0.9149905443191528,civilian skills,0.8518906235694885,combat stress,0.8467336893081665
2638,2638,physicaltraining,physical fitness,0.9148309826850891,retraining,0.7829909920692444,training,0.775814950466156
1795,1795,jealousy,aggression,0.9138258099555969,enemies,0.860752522945404,duty,0.8468002080917358
1780,1780,irritation,aggression,0.9134548902511597,duty,0.844608724117279,training,0.8434476852416992
3434,3434,suggestion,rotation,0.912743866443634,training,0.8797485828399658,induction,0.8707905411720276
3646,3646,underwear,clothing,0.9126191139221191,orientation,0.8613792657852173,training,0.8546455502510071
3449,3449,supply,supplies,0.9124808311462402,training,0.8651144504547119,rules,0.8368861079216003
505,505,brutality,aggression,0.9121628999710083,enemies,0.8540070056915283,fighting facts,0.8422607183456421
3604,3604,treatmentofsoldiers,treatment of pows,0.9117206335067749,working with civilians,0.828955888748169,morale program,0.7519240379333496
2192,2192,morefurloughs,furloughs,0.9116345643997192,limited assignments,0.7369994521141052,radio listening habits,0.7034397125244141
710,710,combatpersonnel,service personnel,0.9107224941253662,overseas combat,0.8308185935020447,veterans,0.80938720703125
2000,2000,lowjobsatisfaction,job satisfaction,0.9106588959693909,job turnover,0.8019329309463501,limited assignments,0.7773475646972656
648,648,civiliansoldierdivide,soldier deposits,0.9105176329612732,job turnover,0.8255906701087952,fighting facts,0.8086360692977905
2736,2736,postwarplans,postwar expectations,0.9104415774345398,postwar opportunities,0.8978240489959717,postwar world,0.8355405330657959
3311,3311,soldiersincome,soldier deposits,0.9101956486701965,war bonds,0.8672354817390442,blacks,0.8552236557006836
264,264,armywage,army talks,0.9101048707962036,soldier deposits,0.861819326877594,headquarters,0.8326936364173889
1027,1027,drifting,rotation,0.9099471569061279,racial,0.8887947797775269,training,0.8649125099182129
1772,1772,investigation,rotation,0.9097192883491516,training,0.8882527351379395,mission,0.8618884086608887
2958,2958,rebuild,rotation,0.9096826314926147,ups,0.8723678588867188,training,0.8516889810562134
261,261,armytraining,officer training,0.9094038605690002,civilian skills,0.8788857460021973,overseas combat,0.8683246374130249
3159,3159,segregated,orientation,0.909292995929718,segregation,0.90012526512146,rotation,0.8851027488708496
788,788,consideration,evaluation,0.9092274904251099,rotation,0.903718888759613,training,0.8994028568267822
2535,2535,outfit,orientation,0.90922611951828,rotation,0.9033960103988647,ups,0.8903076648712158
739,739,commissionedpersonnel,service personnel,0.9090204834938049,officer training,0.8226121068000793,veterans,0.8058347702026367
1814,1814,jobplacement,job evaluation,0.9085670113563538,job preference,0.8663501739501953,job turnover,0.8566862940788269
2272,2272,nerves,aggression,0.908485472202301,food,0.8563674688339233,rules,0.8429945111274719
237,237,armymoney,army insurance,0.908443033695221,army living,0.8935874104499817,war bonds,0.8755264282226562
940,940,disagreements,opinions,0.9079779982566833,rotation,0.9028316140174866,training,0.8684090971946716
1462,1462,goldbricks,goldbricking,0.9079104661941528,war bonds,0.8311992287635803,separation centers,0.787101149559021
2830,2830,prosperity,aggression,0.9078822135925293,efficiency,0.8966635465621948,rotation,0.8949824571609497
2601,2601,payment,adjustment,0.9078686833381653,savings,0.8755040764808655,training,0.8735290169715881
2817,2817,programs,courses,0.9077630043029785,morale program,0.86171954870224,training,0.838598906993866
3766,3766,violent,aggression,0.9075462222099304,rotation,0.8769516348838806,ups,0.8649953007698059
2652,2652,plan,orientation,0.9072847962379456,rotation,0.8922469615936279,training,0.8877971172332764
2039,2039,manpower,aggression,0.9069033265113831,rotation,0.9068338871002197,training,0.8957153558731079
1784,1784,isolation,aggression,0.9068810343742371,censorship,0.8990541696548462,segregation,0.8812191486358643
1664,1664,ignorance,aggression,0.9067441821098328,duty,0.8763280510902405,food,0.8701781034469604
1300,1300,flaws,aggression,0.9065980315208435,enemies,0.875098466873169,rules,0.8742893934249878
3262,3262,slang,aggression,0.9064558148384094,yank,0.8672661185264587,training,0.8626389503479004
1299,1299,flawed,rotation,0.9064086675643921,racial,0.8863850235939026,ups,0.8731861114501953
1158,1158,examination,evaluation,0.9062539339065552,orientation,0.8949570059776306,rotation,0.8798633813858032
243,243,armyplanes,army living,0.9055984616279602,army talks,0.8852192163467407,soldier deposits,0.8429267406463623
3569,3569,trading,training,0.9054014086723328,orientation,0.8686206340789795,headquarters,0.8596973419189453
234,234,armymedical,army insurance,0.9053995609283447,army living,0.9018955826759338,overseas combat,0.8481060266494751
1264,1264,fightingchance,fighting facts,0.9052861928939819,soldier deposits,0.8349822163581848,preparedness,0.8067028522491455
