,Zooniverse tag,Expert correspondance,similarity
132,allies,allies,[[1.]]
2469,officertraining,officertraining,[[1.]]
2075,medicalcareer,medicalcare,[[1.]]
376,benefits,benefits,[[1.]]
647,civilianskills,civilianskills,[[1.]]
2142,minorities,minorities,[[1.]]
2971,redeployment,redeployment,[[1.]]
2510,opinionoftomorrow,opinionoftomorrow,[[1.]]
302,attitudetowardwomen,attitudetowardengland,[[1.]]
90,age,age,[[1.]]
1460,goldbrick,goldbricking,[[1.]]
2828,promotions,promotions,[[1.]]
3842,weapons,weapons,[[1.]]
6,1in10rations,1in10rations,[[1.]]
1015,draft,draft,[[1.]]
1517,groundpersonnel,groundpersonnel,[[1.]]
3467,swpacific,swpacific,[[1.]]
1461,goldbricking,goldbricking,[[1.]]
1462,goldbricks,goldbricking,[[1.]]
3763,vindictiveness,vindictiveness,[[1.]]
1182,facilities,facilities,[[1.]]
1395,furtherservice,furtherservice,[[1.]]
1065,education,education,[[1.]]
3603,treatmentofpows,treatmentofpows,[[1.]]
3604,treatmentofsoldiers,treatmentofpows,[[1.]]
2716,postexchange,postexchanges,[[0.99999994]]
577,censorship,censorship,[[0.99999994]]
3058,returnees,returnees,[[0.99999994]]
3054,retraining,retraining,[[0.99999994]]
2049,maritalstatus,maritalstatus,[[0.99999994]]
841,currentevents,currentevents,[[0.99999994]]
2717,postexchanges,postexchanges,[[0.99999994]]
610,children,children,[[0.99999994]]
1718,infantry,infantry,[[0.99999994]]
779,confidenceintroops,confidenceintroops,[[0.99999994]]
1094,enemies,enemies,[[0.99999994]]
273,artillery,artillery,[[0.99999994]]
2908,radiolisteninghabits,radiolisteninghabits,[[0.99999994]]
1817,jobsatisfaction,jobsatisfaction,[[0.99999994]]
2747,pows,pows,[[0.99999994]]
1792,japanese,japanese,[[0.99999994]]
3802,warindustries,warindustries,[[0.9999999]]
2734,postwaropportunities,postwaropportunities,[[0.9999999]]
3778,wac,wac,[[0.9999999]]
2762,preparedness,preparedness,[[0.9999999]]
525,businessownership,businessownership,[[0.9999999]]
3803,warindustry,warindustries,[[0.9999999]]
3744,venereal_disease,veneraldisease,[[0.9999999]]
482,brief,brief,[[0.9999999]]
3743,veneraldisease,veneraldisease,[[0.9999999]]
3746,venereal-diseases,veneraldisease,[[0.9999999]]
2509,opinionofallies,opinionofallies,[[0.9999999]]
3214,sexcontact,sexcontact,[[0.9999999]]
3822,warweek,warweek,[[0.9999999]]
786,conscription,conscription,[[0.9999999]]
2461,officers,officers,[[0.9999999]]
524,businessowner,businessownership,[[0.9999999]]
1138,equipment,equipment,[[0.9999999]]
3918,workingwithcivilians,workingwithcivilians,[[0.9999999]]
2159,mission,mission,[[0.9999999]]
2827,promotion,promotion,[[0.9999999]]
3087,rotation,rotation,[[0.9999999]]
2893,racial,racial,[[0.9999999]]
1390,furlough,furloughs,[[0.9999999]]
3745,venereal-disease,veneraldisease,[[0.9999999]]
3094,rules,rules,[[0.9999999]]
1318,food,food,[[0.9999999]]
1391,furloughpolicy,furloughs,[[0.9999999]]
66,adjustment,adjustment,[[0.9999999]]
519,business,business,[[0.9999999]]
1392,furloughs,furloughs,[[0.9999999]]
1393,furloughsneeded,furloughs,[[0.9999999]]
2730,postwarexperience,postwarexpections,[[0.9999998]]
2511,opinions,opinions,[[0.9999998]]
2528,orientation,orientation,[[0.9999998]]
2959,reccenter,reccenters,[[0.9999998]]
223,armyinsurance,armyinsurance,[[0.9999998]]
2727,postwarexpectation,postwarexpections,[[0.9999998]]
2728,postwarexpectations,postwarexpections,[[0.9999998]]
3404,strategicbombing,strategicbombing,[[0.9999998]]
2729,postwarexpections,postwarexpections,[[0.9999998]]
2077,medicaldischarge,medicaldispensaries,[[0.99999976]]
645,civilians,civilians,[[0.99999976]]
2854,pxsupplies,pxs,[[0.99999976]]
1421,germans,germans,[[0.99999976]]
2721,postwar,postwar,[[0.99999976]]
121,alaska,alaska,[[0.99999976]]
2251,ncos,ncos,[[0.99999976]]
3792,warbonds,warbonds,[[0.99999976]]
2741,postwarworld,postwarworld,[[0.99999976]]
2686,politicalviews,politicalviews,[[0.99999976]]
2853,pxs,pxs,[[0.99999976]]
973,dispensaries,dispensaries,[[0.9999997]]
868,decorations,decorations,[[0.9999997]]
974,displeased,dispensaries,[[0.9999997]]
2674,pointsysten,pointsystem,[[0.9999997]]
3575,training,training,[[0.9999997]]
344,barracks,barracks,[[0.9999997]]
3448,supplies,supplies,[[0.9999997]]
1486,government,government,[[0.9999997]]
3043,rest,rest,[[0.9999997]]
2673,pointsystem,pointsystem,[[0.9999997]]
2015,magazines,magazines,[[0.99999964]]
3199,servicepersonnel,servicepersonnel,[[0.99999964]]
3299,soldierdeposits,soldierdeposits,[[0.99999964]]
1334,foreignpolicy,foreignpolicy,[[0.99999964]]
3730,usintheworld,usintheworld,[[0.99999964]]
3341,specialservices,specialservices,[[0.9999996]]
3340,specialservice,specialservices,[[0.9999996]]
1570,headquarters,headquarters,[[0.9999995]]
699,comabtflying,comabtflying,[[0.99999946]]
222,armyfood,armyscorecardplan,[[0.9845466]]
2124,militaryindustrialcomplex,militarypolice,[[0.9840384]]
2551,overseasbattle,overseascombat,[[0.9837556]]
238,armyofficer,armyscorecardplan,[[0.98023623]]
239,armyofficers,armyscorecardplan,[[0.98023623]]
211,armycareer,armyscorecardplan,[[0.9796299]]
2132,militaryspending,militarypolice,[[0.9784812]]
214,armydelayed,armyscorecardplan,[[0.9777813]]
2553,overseasduty,overseascombat,[[0.9763699]]
2123,militaryhusband,militarypolice,[[0.97389627]]
256,armyservice,armyscorecardplan,[[0.9721762]]
258,armysurveys,armyscorecardplan,[[0.97024894]]
242,armypilot,armyscorecardplan,[[0.97015965]]
243,armyplanes,armyscorecardplan,[[0.97002465]]
244,armypolicies,armyscorecardplan,[[0.9695715]]
245,armypolitics,armyscorecardplan,[[0.9695715]]
234,armymedical,armyscorecardplan,[[0.96929544]]
233,armymedic,armyscorecardplan,[[0.96929544]]
232,armymed,armyscorecardplan,[[0.96929544]]
235,armymedicine,armyscorecardplan,[[0.96929544]]
254,armyretirement,armyscorecardplan,[[0.96896267]]
1818,jobsearch,jobsatisfaction,[[0.9687186]]
1819,jobsearching,jobsatisfaction,[[0.9687186]]
236,armymismanagement,armyscorecardplan,[[0.9685334]]
2121,militarydraft,militarypolice,[[0.9667377]]
259,armysystem,armyscorecardplan,[[0.96604645]]
648,civiliansoldierdivide,civilianskills,[[0.9647951]]
249,armyprivate,armyscorecardplan,[[0.96471643]]
248,armypride,armyscorecardplan,[[0.96471643]]
2554,overseasservice,overseascombat,[[0.96393186]]
218,armyfamily,armyscorecardplan,[[0.96379226]]
210,armybuses,armyscorecardplan,[[0.9637768]]
2563,pacificwar,pacifictoughness,[[0.9629568]]
260,armytime,armyscorecardplan,[[0.96294796]]
2736,postwarplans,postwarexpections,[[0.96290106]]
2735,postwarplan,postwarexpections,[[0.96290106]]
262,armyuniform,armyscorecardplan,[[0.9626832]]
2118,militaryactivity,militarypolice,[[0.96265185]]
1821,jobskill,jobsatisfaction,[[0.9608809]]
1330,foreignduty,foreignpolicy,[[0.9606904]]
2130,militaryrestrictions,militarypolice,[[0.9595511]]
3300,soldierdoctor,soldierdeposits,[[0.9594718]]
253,armyreserve,armyinsurance,[[0.9581926]]
220,armyfilms,armyscorecardplan,[[0.95807624]]
221,armyfirst,armyscorecardplan,[[0.95803577]]
257,armyskills,armyscorecardplan,[[0.9577887]]
215,armydiscipline,armyscorecardplan,[[0.9575995]]
251,armyprocedure,armyscorecardplan,[[0.9563241]]
250,armyproblems,armyscorecardplan,[[0.9563241]]
1807,jobevaluation,jobpreference,[[0.9561024]]
3804,warinterference,warindustries,[[0.9560281]]
1953,limitedservice,limitedassignments,[[0.9551905]]
1954,limitedservicemen,limitedassignments,[[0.9551905]]
217,armyexperience,armyscorecardplan,[[0.9551298]]
216,armyexchange,armyscorecardplan,[[0.9551298]]
264,armywage,armyscorecardplan,[[0.95465577]]
240,armyofoccupation,armyscorecardplan,[[0.9545331]]
213,armydecisions,armyscorecardplan,[[0.95434606]]
255,armyrules,armyscorecardplan,[[0.9542748]]
3298,soldiercomplaints,soldierdeposits,[[0.95411885]]
3307,soldierproblems,soldierdeposits,[[0.9541037]]
237,armymoney,armyscorecardplan,[[0.9537056]]
224,armyjobs,armyscorecardplan,[[0.95350885]]
247,armyposting,armyscorecardplan,[[0.9534657]]
246,armypost,armyscorecardplan,[[0.9534657]]
650,civiliansversussoldiers,civilianskills,[[0.95324826]]
209,armyband,armytalks,[[0.9529752]]
2725,postwarcondtitions,postwarexpections,[[0.9527169]]
2724,postwarconcerns,postwarexpections,[[0.9527169]]
225,armylife,armyscorecardplan,[[0.9523478]]
226,armylifeiscrazy,armyscorecardplan,[[0.9523478]]
227,armylifestyle,armyscorecardplan,[[0.9523478]]
265,armywife,armyscorecardplan,[[0.9515064]]
212,armycommission,armyinsurance,[[0.9514426]]
2131,militaryservice,militarypolice,[[0.9507124]]
3308,soldierresponses,soldierdeposits,[[0.949442]]
1820,jobsecurity,jobsatisfaction,[[0.94870865]]
2120,militarydiscount,militarypolice,[[0.94852513]]
1606,homebound,homefront,[[0.9473975]]
3315,soldiertreatment,soldierdeposits,[[0.947161]]
1814,jobplacement,jobpreference,[[0.9471584]]
207,armyaircorps,armyscorecardplan,[[0.9468366]]
208,armyairforce,armyscorecardplan,[[0.9468366]]
219,armyfields,armyscorecardplan,[[0.94681346]]
2737,postwarquestions,postwarexpections,[[0.94641626]]
231,armymanagement,armyscorecardplan,[[0.9462719]]
1970,livingafterwar,livingconditions,[[0.9461901]]
1811,jobloss,jobpreference,[[0.9459115]]
3306,soldieropinion,soldierdeposits,[[0.94474196]]
2307,newstart,newsmaps,[[0.9432535]]
2081,medicalresidency,medicaldispensaries,[[0.94233596]]
2303,newsinterference,newsmaps,[[0.9417701]]
3296,soldierattitude,soldierdeposits,[[0.9408399]]
3297,soldierattitudes,soldierdeposits,[[0.9408399]]
489,britishradio,britishpapers,[[0.9407075]]
2740,postwarwork,postwarexpections,[[0.9402771]]
261,armytraining,armyscorecardplan,[[0.93967175]]
3732,usmilitary,usintheworld,[[0.93966186]]
2076,medicalcorps,medicalcare,[[0.93897873]]
3301,soldierexpression,soldierdeposits,[[0.9387404]]
241,armypay,armyinsurance,[[0.93807966]]
3065,returntous,returnees,[[0.9375971]]
711,combatready,combat,[[0.9370866]]
166,analysis,evaluation,[[0.93695724]]
520,businessadministration,businessownership,[[0.93693066]]
521,businessadminstration,businessownership,[[0.93693066]]
2084,medicaltraining,medicalcare,[[0.9364378]]
2085,medicaltreatment,medicaldispensaries,[[0.9357463]]
1614,homeplan,homefront,[[0.9356216]]
3916,workingharder,workingwithcivilians,[[0.93539536]]
3729,usgovernment,usintheworld,[[0.9353402]]
2811,productivity,efficiency,[[0.93529516]]
2723,postwarboom,postwaropportunities,[[0.93510985]]
3821,wartraining,warindustries,[[0.9345012]]
67,adjustments,adjustment,[[0.93395364]]
298,attitudeissues,attitudetowardengland,[[0.93349665]]
2726,postwaremployment,postwarexpections,[[0.9333014]]
2816,program,programpreferences,[[0.9329196]]
1809,jobhunt,jobpreference,[[0.9326222]]
573,cavalry,infantry,[[0.93204516]]
3305,soldiermorale,soldierdeposits,[[0.9318333]]
3057,returnee,returnees,[[0.9317684]]
3304,soldiermistreatment,soldierdeposits,[[0.9313774]]
3584,transition,rotation,[[0.92979765]]
710,combatpersonnel,combat,[[0.929417]]
1806,jobethic,jobturnover,[[0.9293048]]
3812,waroutcome,warindustries,[[0.92929304]]
2470,officertreatment,officertraining,[[0.92893803]]
1029,drills,rotation,[[0.9286009]]
2304,newskills,newsmaps,[[0.92840564]]
2507,opinion,opinions,[[0.9282172]]
2733,postwarlife,postwarworld,[[0.9281361]]
1634,hospitalissues,hospitalfacilities,[[0.9276725]]
266,armywives,armyscorecardplan,[[0.92666864]]
2079,medicalexamination,medicalcare,[[0.92605597]]
2078,medicalexam,medicalcare,[[0.92605597]]
267,armywork,armytalks,[[0.92535037]]
3067,returntrip,returnees,[[0.9253137]]
1332,foreigninterests,foreignpolicy,[[0.92528355]]
1331,foreigninterest,foreignpolicy,[[0.92528355]]
263,armyvsnavy,armyscorecardplan,[[0.9249952]]
712,combatsoldier,combat,[[0.92491186]]
1271,film,films,[[0.92448556]]
939,disagreement,rotation,[[0.9242789]]
2720,postoffice,postexchanges,[[0.9241178]]
2760,preparation,training,[[0.92409086]]
1707,inductioncenter,separationcenters,[[0.9228468]]
3807,warjob,warfinformation,[[0.922766]]
3302,soldierlife,armytalks,[[0.92229116]]
2763,preparing,training,[[0.9222772]]
2062,meat,food,[[0.9222553]]
717,combatveteran,combat,[[0.92213565]]
2305,newsoldiers,newsmaps,[[0.9221281]]
2219,movies,films,[[0.92185557]]
985,distraction,aggression,[[0.92184246]]
65,adjust,adjustment,[[0.9216642]]
2459,officerproblems,officertraining,[[0.92157745]]
2460,officerpromotion,officertraining,[[0.92157745]]
3066,returntowar,returnees,[[0.92143726]]
2655,planning,training,[[0.9213936]]
523,businessopportunity,business,[[0.9213734]]
1813,jobopportunities,jobevluation,[[0.9211786]]
1812,joboppertunity,jobevluation,[[0.9211786]]
708,combatfatigue,combat,[[0.92101175]]
206,army4life,armyliving,[[0.92086643]]
1301,flexibility,efficiency,[[0.920819]]
3033,resentment,aggression,[[0.9200412]]
646,civiliansdon,civilianskills,[[0.9198322]]
3886,wine,food,[[0.91963303]]
2458,officerissuess,officertraining,[[0.91943306]]
1612,homeowner,homefront,[[0.91868037]]
1613,homeownership,homefront,[[0.91868037]]
2722,postwararmy,postwarexpections,[[0.9185443]]
1419,german-prisoners-of-war,germanclothing,[[0.9179212]]
369,beliefs,opinions,[[0.91715765]]
3042,responsibility,duty,[[0.9170611]]
3616,tropicalfevers,pacifictoughness,[[0.91689706]]
1816,jobs,jobsatisfaction,[[0.91682726]]
173,annoyance,aggression,[[0.9167113]]
2755,prediction,rotation,[[0.91640943]]
1620,hometrouble,homefront,[[0.91600287]]
3186,separation,rotation,[[0.9156523]]
3576,trainingflaws,training,[[0.9154743]]
3414,strikes,rotation,[[0.9150779]]
777,confidence,confidenceintroops,[[0.91424084]]
709,combatleave,combat,[[0.91405725]]
2301,news,newsmaps,[[0.9139752]]
1795,jealousy,aggression,[[0.9138259]]
1964,livenow,livetalen,[[0.9134965]]
1780,irritation,aggression,[[0.9134551]]
1972,livinglikerielly,livingconditions,[[0.91334856]]
1891,leadershipchange,leadershi,[[0.9130086]]
2129,militaryprojects,moraleprogram,[[0.91286623]]
3538,timeaway,timeoff,[[0.91281307]]
3434,suggestion,rotation,[[0.9127436]]
2471,officerversusenlisted,officertraining,[[0.9126241]]
3646,underwear,clothing,[[0.9126191]]
3449,supply,supplies,[[0.91248083]]
505,brutality,aggression,[[0.912163]]
2083,medicalservices,medicaldispensaries,[[0.91196]]
2364,nonracist,noncoms,[[0.9114125]]
1323,foodservice,specialservices,[[0.9102943]]
2685,politicalscience,politicalviews,[[0.91028535]]
1027,drifting,rotation,[[0.9099471]]
1772,investigation,rotation,[[0.90971917]]
2958,rebuild,rotation,[[0.90968275]]
294,atlanticcity,pacifictoughness,[[0.90964967]]
3159,segregated,orientation,[[0.9092931]]
788,consideration,evaluation,[[0.90922785]]
2535,outfit,orientation,[[0.9092261]]
2465,officersreadingmail,officertraining,[[0.9091188]]
1943,lifeofthegovernment,opinionoftomorrow,[[0.9086336]]
2272,nerves,aggression,[[0.90848553]]
2913,radioservice,specialservices,[[0.9079825]]
940,disagreements,opinions,[[0.90797794]]
2830,prosperity,aggression,[[0.90788215]]
2601,payment,adjustment,[[0.90786874]]
2817,programs,courses,[[0.90776324]]
3766,violent,aggression,[[0.90754616]]
363,bedchecks,billeting,[[0.9075094]]
362,bedcheck,billeting,[[0.9075094]]
1965,liveoffbase,livetalen,[[0.9074568]]
2454,officercore,officertraining,[[0.90735936]]
1804,jobappointment,jobpreference,[[0.90733975]]
2652,plan,orientation,[[0.90728486]]
420,billofrights,billeting,[[0.9069722]]
2039,manpower,aggression,[[0.9069034]]
1784,isolation,aggression,[[0.9068812]]
3754,veteranrights,armytalks,[[0.90685046]]
1664,ignorance,aggression,[[0.9067441]]
602,chemicalengineer,chemicalwarfare,[[0.90661347]]
603,chemicalengineering,chemicalwarfare,[[0.90661347]]
1300,flaws,aggression,[[0.9065981]]
3262,slang,aggression,[[0.9064557]]
1299,flawed,rotation,[[0.90640855]]
1158,examination,evaluation,[[0.90625393]]
1866,landofthefree,prosecutionofthewar,[[0.9061065]]
635,civiliancareer,armytalks,[[0.90564287]]
3569,trading,training,[[0.90540147]]
1876,laundry,food,[[0.9051425]]
1384,frustration,aggression,[[0.9050516]]
541,campclaiborne,baseunits,[[0.90439886]]
1823,jobswitch,jobsatisfaction,[[0.9043298]]
345,base,headquarters,[[0.90432656]]
2168,mistakes,rotation,[[0.9043027]]
815,costofwar,lengthofservice,[[0.90416723]]
2220,moving,rotation,[[0.90409434]]
867,decisions,opinions,[[0.90405464]]
1887,leaderhsipexperience,leadershi,[[0.9039871]]
375,beneficial,racial,[[0.9038458]]
2455,officercorps,officertraining,[[0.90371764]]
2125,militaryjustice,militarypolice,[[0.903532]]
2588,passionate,orientation,[[0.903509]]
2967,recruitment,training,[[0.90350544]]
204,army-bands,armyscorecardplan,[[0.9033884]]
2250,nco,ncos,[[0.90338194]]
2222,movingon,workingwithcivilians,[[0.90338045]]
716,combattroops,combat,[[0.90337276]]
281,assignmentplacement,separationcenters,[[0.903311]]
2677,policies,opinions,[[0.9032568]]
3237,sickness,aggression,[[0.9029373]]
2456,officercriticism,officertraining,[[0.9028821]]
1167,expectations,rotation,[[0.90276873]]
3003,relevance,orientation,[[0.9027604]]
3961,zodiac,rotation,[[0.9026548]]
810,correction,adjustment,[[0.90261036]]
918,determination,evaluation,[[0.9025324]]
3950,wwii,postwar,[[0.9023884]]
758,complain,rotation,[[0.90205586]]
3130,sarcastic,ups,[[0.9020121]]
950,discharges,dischargees,[[0.901519]]
2451,office,headquarters,[[0.9014962]]
2184,moraleofblacksoldiers,moraleprogram,[[0.9014845]]
2442,objective,mission,[[0.9010379]]
3777,waac,wac,[[0.90093744]]
2546,overhaul,rotation,[[0.90077347]]
2536,outfits,clothing,[[0.90071595]]
3593,trauma,combat,[[0.90059537]]
3913,workharder,jobturnover,[[0.9005741]]
3912,workhard,jobturnover,[[0.9005741]]
199,argument,rotation,[[0.900336]]
754,competence,efficiency,[[0.90027654]]
1743,instruction,training,[[0.90014595]]
297,attitude,attitudetowardengland,[[0.9001107]]
278,aspirations,attitudes,[[0.9000014]]
761,complaints,opinions,[[0.8999754]]
1558,harsh,aggression,[[0.89994216]]
929,difficulties,rules,[[0.8996574]]
3838,water,food,[[0.8996079]]
1049,dutystations,duty,[[0.8996062]]
1048,dutystation,duty,[[0.8996062]]
1609,homeland,rotation,[[0.8995303]]
2512,opinionsonthewar,opinions,[[0.8995112]]
1951,limited,limitedassignments,[[0.89948833]]
2504,operation,headquarters,[[0.8994754]]
3435,suggestions,opinions,[[0.89921427]]
702,combatarea,combat,[[0.89917433]]
2649,placement,evaluation,[[0.89914393]]
46,ability,rotation,[[0.8991083]]
3635,unclear,orientation,[[0.89910066]]
1611,homeofthebrave,homefront,[[0.8990717]]
2468,officersweak,officertraining,[[0.8990021]]
2863,quarters,headquarters,[[0.89885485]]
2973,redrafting,redeployment,[[0.89869374]]
2213,motivation,attitudes,[[0.8986893]]
1721,infantryproblems,armyliving,[[0.89852536]]
2759,prejudice,aggression,[[0.89846075]]
119,airplanes,orientation,[[0.89842844]]
3222,shipments,supplies,[[0.8982672]]
1057,economicboom,politicalviews,[[0.8982109]]
460,boredom,rotation,[[0.898149]]
3046,restrictions,censorship,[[0.89809465]]
3310,soldiersdontseecolor,soldierdeposits,[[0.89792794]]
3456,suppression,censorship,[[0.89791644]]
1119,enterprise,business,[[0.8978825]]
2656,plans,orientation,[[0.89787215]]
2748,practice,training,[[0.8978659]]
286,assuranceoffutureopportunities,confidenceinship,[[0.89773196]]
649,civilianspaidmore,civilianskills,[[0.89755]]
3287,socialstatus,moraleprogram,[[0.897509]]
2072,medical,medicaldispensaries,[[0.8974583]]
2453,officer,officertraining,[[0.89744556]]
2122,militaryeducation,militarypolice,[[0.8971226]]
2738,postwarschooling,postwaropportunities,[[0.89677334]]
3676,uniforms,clothing,[[0.89673746]]
1719,infantrylife,armytalks,[[0.89670706]]
2644,pilotcareer,soldierdeposits,[[0.89656556]]
3411,strict,rotation,[[0.89649373]]
2262,neglect,aggression,[[0.89648724]]
3805,warishell,warfinformation,[[0.8963174]]
1173,explanation,adjustment,[[0.89625955]]
747,communication,business,[[0.89623916]]
3326,southerncalifornia,pacifictoughness,[[0.896199]]
1234,fatigue,aggression,[[0.89614993]]
1682,incentive,efficiency,[[0.8961112]]
471,branch,branchofservice,[[0.89597136]]
896,dependence,rotation,[[0.8958909]]
48,ablebodied,strategicbombing,[[0.8956722]]
2633,physicalexam,physicalfitness,[[0.8956534]]
117,airplane,rotation,[[0.89556766]]
744,commitment,duty,[[0.89552754]]
501,brotherinarms,basenewspapers,[[0.89551383]]
118,airplaneplant,armytalks,[[0.89549]]
1031,drinks,food,[[0.89529836]]
2126,militarylife,armytalks,[[0.8952038]]
3227,shoes,clothing,[[0.8951438]]
95,agelimit,age,[[0.8950906]]
545,campmurray,baseunits,[[0.89493287]]
1729,initials,racial,[[0.894928]]
2573,parades,rotation,[[0.89486456]]
1824,jobtraining,jobturnover,[[0.89469683]]
3011,relocating,rotation,[[0.89458615]]
2914,rags,rotation,[[0.89457285]]
752,compassion,aggression,[[0.8945571]]
805,cooks,ups,[[0.8945445]]
3794,warcritic,warfinformation,[[0.8945428]]
3793,warcrimes,warfinformation,[[0.8945428]]
1937,lifechangingexperience,livingconditions,[[0.8945189]]
1936,lifechange,livingconditions,[[0.8945189]]
3567,tradeschool,jobsatisfaction,[[0.8943346]]
271,arthritis,rotation,[[0.8942898]]
53,accommodations,orientation,[[0.89427364]]
1267,fightingspirt,livingconditions,[[0.894234]]
1266,fightingspirit,livingconditions,[[0.894234]]
766,concentrationcamp,separationcenters,[[0.8941941]]
3059,returnhome,returnees,[[0.8940977]]
3255,skill,adjustment,[[0.89406586]]
1678,improvement,evaluation,[[0.89404154]]
3049,retention,rotation,[[0.8938537]]
978,disruption,rotation,[[0.8937496]]
1087,employees,officers,[[0.8937489]]
3780,wagegap,basenewspapers,[[0.8937303]]
3016,repetition,rotation,[[0.8936919]]
1956,limits,rotation,[[0.8935214]]
1572,healthcare,medicalcare,[[0.89332527]]
2837,proudveteran,soldierdeposits,[[0.8932183]]
2572,parachuterigger,specialservices,[[0.8931986]]
2709,positiveviews,politicalviews,[[0.8930867]]
196,arctic,alaska,[[0.8930664]]
753,compensation,benefits,[[0.8930197]]
2517,oppression,rotation,[[0.8929951]]
3502,technological,rotation,[[0.8929507]]
2467,officerstatus,officertraining,[[0.89290935]]
3147,schooling,training,[[0.8928774]]
1102,engireering,reccenters,[[0.8928598]]
1681,inadequate,orientation,[[0.89251417]]
141,ambitions,attitudes,[[0.89248586]]
2466,officerstandards,officertraining,[[0.8924537]]
3779,wacs,wac,[[0.8923525]]
3126,sandwiches,food,[[0.8923183]]
1675,impression,orientation,[[0.892317]]
2745,power,aggression,[[0.8921975]]
3347,spies,enemies,[[0.8921937]]
1346,formycountry,basenewspapers,[[0.8921319]]
3095,rulesandregulations,rules,[[0.89206624]]
71,advancing,rotation,[[0.89203906]]
3397,stocks,supplies,[[0.89199364]]
706,combatdecorations,combat,[[0.89190674]]
3846,wecanallgetalong,usintheworld,[[0.8918655]]
410,biblical,rotation,[[0.8918523]]
3339,specialized,orientation,[[0.8918345]]
543,campfunston,baseunits,[[0.8918264]]
3733,uso,usos,[[0.8918194]]
988,disturbed,aggression,[[0.8917578]]
2162,missionready,moraleprogram,[[0.8916146]]
3311,soldiersincome,armytalks,[[0.89158434]]
2060,maturity,rotation,[[0.8915746]]
3737,vacationtime,leisuretime,[[0.8915158]]
2160,missionfirst,moraleprogram,[[0.8915067]]
